Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZF)"
count,154.0
mean,5.43751268262987
std,3.655178197012475
min,0.375
10%,1.9125
25%,3.125
50%,4.7509765625
75%,6.75
95%,13.343749999999996
99%,15.92625
max,26.375
skewness,2.0895824754784154
kurtosis,7.330551000009705
