Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)"
count,109.0
mean,9.146788990825687
std,4.239531088836477
min,2.0
10%,4.9
25%,6.5
50%,8.5
75%,10.5
95%,16.599999999999994
99%,23.180000000000007
max,28.0
skewness,1.470660755768081
kurtosis,3.792511981824101
