Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,155.0
mean,3.5193548387096776
std,2.948080968909422
min,1.25
10%,1.75
25%,2.25
50%,2.75
75%,3.75
95%,8.899999999999991
99%,18.31500000000006
max,23.25
skewness,4.393847342245421
kurtosis,24.31501893528981
