"(Vol Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3371.0
mean,78.92494808662119
std,43.54478581269594
min,0.0
5%,34.00000000000034
25%,50.99999999999909
50%,68.00000000000068
68%,85.60000000000039
90%,130.00000000000114
95%,161.00000000000136
99%,236.00000000000037
99.7%,324.6699999999996
max,469.0000000000026
