Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.1907498817803057,-1.1907498817803057
2024-10-14,4.0,-0.39152752562119425,-0.39152752562119425
2024-10-16,2.75,-0.7245368406874907,-0.7245368406874907
2024-10-17,4.5,-0.25832379959467566,-0.25832379959467566
2024-10-18,3.125,-0.6246340461676018,-0.6246340461676018
2024-10-20,1.125,-1.1574489502736762,-1.1574489502736762
2024-10-21,8.25,0.7407041456042137,0.7407041456042137
2024-10-22,4.5,-0.25832379959467566,-0.25832379959467566
2024-10-23,3.25,-0.5913331146609722,-0.5913331146609722
2024-10-24,3.125,-0.6246340461676018,-0.6246340461676018
2024-10-27,3.375,-0.5580321831543424,-0.5580321831543424
2024-10-28,4.75,-0.19172193658141637,-0.19172193658141637
2024-10-29,6.75,0.341092967524658,0.341092967524658
2024-11-03,2.5,-0.79113870370075,-0.79113870370075
2024-11-04,4.75,-0.19172193658141637,-0.19172193658141637
2024-11-05,13.0,2.00613954285614,2.00613954285614
2024-11-06,6.25,0.2078892414981394,0.2078892414981394
2024-11-07,8.625,0.8406069401241028,0.8406069401241028
2024-11-10,2.0,-0.9243424297272687,-0.9243424297272687
2024-11-11,4.125,-0.3582265941145646,-0.3582265941145646
2024-11-15,8.25,0.7407041456042137,0.7407041456042137
2024-11-17,1.5,-1.0575461557537873,-1.0575461557537873
2024-11-18,5.375,-0.02521727904826813,-0.02521727904826813
2024-11-19,5.0,-0.12512007356815708,-0.12512007356815708
2024-11-20,2.75,-0.7245368406874907,-0.7245368406874907
2024-11-21,4.75,-0.19172193658141637,-0.19172193658141637
2024-11-24,2.0,-0.9243424297272687,-0.9243424297272687
2024-11-25,7.125,0.44099576204454694,0.44099576204454694
2024-11-26,3.875,-0.4248284571278239,-0.4248284571278239
2024-11-28,1.875,-0.9576433612338983,-0.9576433612338983
2024-11-29,6.375,0.24119017300476905,0.24119017300476905
2024-12-01,2.125,-0.8910414982206389,-0.8910414982206389
2024-12-02,7.5,0.5408985565644359,0.5408985565644359
2024-12-03,7.5,0.5408985565644359,0.5408985565644359
2024-12-04,6.125,0.17458830999150976,0.17458830999150976
2024-12-05,5.375,-0.02521727904826813,-0.02521727904826813
2024-12-08,1.0,-1.1907498817803057,-1.1907498817803057
2024-12-10,7.0,0.4076948305379173,0.4076948305379173
2024-12-13,7.875,0.6408013510843248,0.6408013510843248
2024-12-15,1.5,-1.0575461557537873,-1.0575461557537873
2024-12-16,3.125,-0.6246340461676018,-0.6246340461676018
2024-12-17,4.375,-0.2916247311013053,-0.2916247311013053
2024-12-18,12.625,1.9062367483362515,1.9062367483362515
2024-12-22,1.25,-1.1241480187670465,-1.1241480187670465
2024-12-23,4.75,-0.19172193658141637,-0.19172193658141637
2024-12-24,2.75,-0.7245368406874907,-0.7245368406874907
2024-12-25,2.0,-0.9243424297272687,-0.9243424297272687
2024-12-26,4.375,-0.2916247311013053,-0.2916247311013053
2024-12-27,3.375,-0.5580321831543424,-0.5580321831543424
2024-12-29,0.875,-1.2240508132869354,-1.2240508132869354
2024-12-30,6.875,0.3743938990312876,0.3743938990312876
2024-12-31,4.0,-0.39152752562119425,-0.39152752562119425
2025-01-01,2.0,-0.9243424297272687,-0.9243424297272687
2025-01-02,5.5,0.008083652458361516,0.008083652458361516
2025-01-03,4.625,-0.22502286808804603,-0.22502286808804603
2025-01-05,1.875,-0.9576433612338983,-0.9576433612338983
2025-01-06,4.375,-0.2916247311013053,-0.2916247311013053
2025-01-07,5.125,-0.09181914206152743,-0.09181914206152743
2025-01-08,4.625,-0.22502286808804603,-0.22502286808804603
2025-01-09,2.5,-0.79113870370075,-0.79113870370075
2025-01-12,2.625,-0.7578377721941204,-0.7578377721941204
2025-01-16,7.75,0.6075004195776952,0.6075004195776952
2025-01-17,4.751953125,-0.1912016095266253,-0.1912016095266253
2025-01-19,1.25,-1.1241480187670465,-1.1241480187670465
2025-01-20,7.875,0.6408013510843248,0.6408013510843248
2025-01-21,5.25,-0.05851821055489778,-0.05851821055489778
2025-01-22,3.875,-0.4248284571278239,-0.4248284571278239
2025-01-23,3.75,-0.45812938863445357,-0.45812938863445357
2025-01-26,2.125,-0.8910414982206389,-0.8910414982206389
2025-01-27,7.0,0.4076948305379173,0.4076948305379173
2025-01-28,4.375,-0.2916247311013053,-0.2916247311013053
2025-01-29,6.0,0.1412873784848801,0.1412873784848801
2025-02-02,5.5,0.008083652458361516,0.008083652458361516
2025-02-03,4.75,-0.19172193658141637,-0.19172193658141637
2025-02-04,5.75,0.0746855154716208,0.0746855154716208
2025-02-05,6.375,0.24119017300476905,0.24119017300476905
2025-02-06,2.625,-0.7578377721941204,-0.7578377721941204
2025-02-09,1.625,-1.0242452242471576,-1.0242452242471576
2025-02-11,3.625,-0.4914303201410832,-0.4914303201410832
2025-02-14,6.625,0.30779203601802835,0.30779203601802835
2025-02-16,1.5,-1.0575461557537873,-1.0575461557537873
2025-02-17,2.125,-0.8910414982206389,-0.8910414982206389
2025-02-18,3.75,-0.45812938863445357,-0.45812938863445357
2025-02-19,4.625,-0.22502286808804603,-0.22502286808804603
2025-02-20,2.5,-0.79113870370075,-0.79113870370075
2025-02-23,0.875,-1.2240508132869354,-1.2240508132869354
2025-02-24,6.25,0.2078892414981394,0.2078892414981394
2025-02-25,6.875,0.3743938990312876,0.3743938990312876
2025-02-26,9.0,0.9405097346439917,0.9405097346439917
2025-03-02,4.75,-0.19172193658141637,-0.19172193658141637
2025-03-03,14.25,2.3391488579224364,2.3391488579224364
2025-03-04,15.75,2.7387600360019926,2.7387600360019926
2025-03-05,13.75,2.205945131895918,2.205945131895918
2025-03-06,8.875,0.907208803137362,0.907208803137362
2025-03-09,5.25,-0.05851821055489778,-0.05851821055489778
2025-03-11,9.5,1.0737134606705103,1.0737134606705103
2025-03-16,4.25,-0.324925662607935,-0.324925662607935
2025-03-17,7.25,0.4742966935511766,0.4742966935511766
2025-03-18,4.5,-0.25832379959467566,-0.25832379959467566
2025-03-19,8.625,0.8406069401241028,0.8406069401241028
2025-03-20,5.875,0.10798644697825045,0.10798644697825045
2025-03-21,4.875,-0.1584210050747867,-0.1584210050747867
2025-03-23,2.125,-0.8910414982206389,-0.8910414982206389
2025-03-24,4.875,-0.1584210050747867,-0.1584210050747867
2025-03-25,5.0,-0.12512007356815708,-0.12512007356815708
2025-03-26,2.875,-0.6912359091808611,-0.6912359091808611
2025-03-30,3.875,-0.4248284571278239,-0.4248284571278239
2025-03-31,6.75,0.341092967524658,0.341092967524658
2025-04-01,5.0,-0.12512007356815708,-0.12512007356815708
2025-04-02,16.125,2.8386628305218813,2.8386628305218813
2025-04-03,13.125,2.03944047436277,2.03944047436277
2025-04-06,15.5,2.672158172988733,2.672158172988733
2025-04-07,26.375,5.569339214065512,5.569339214065512
2025-04-08,15.5,2.672158172988733,2.672158172988733
2025-04-09,14.0,2.2725469949091774,2.2725469949091774
2025-04-13,6.625,0.30779203601802835,0.30779203601802835
2025-04-15,7.125,0.44099576204454694,0.44099576204454694
2025-04-16,6.125,0.17458830999150976,0.17458830999150976
2025-04-17,4.875,-0.1584210050747867,-0.1584210050747867
2025-04-20,2.375,-0.8244396352073796,-0.8244396352073796
2025-04-21,6.375,0.24119017300476905,0.24119017300476905
2025-04-22,5.25,-0.05851821055489778,-0.05851821055489778
2025-04-23,6.375,0.24119017300476905,0.24119017300476905
2025-04-24,5.5,0.008083652458361516,0.008083652458361516
2025-04-27,1.5,-1.0575461557537873,-1.0575461557537873
2025-04-28,7.125,0.44099576204454694,0.44099576204454694
2025-04-29,6.125,0.17458830999150976,0.17458830999150976
2025-05-01,11.25,1.5399265017633252,1.5399265017633252
2025-05-04,2.125,-0.8910414982206389,-0.8910414982206389
2025-05-05,5.375,-0.02521727904826813,-0.02521727904826813
2025-05-06,5.125,-0.09181914206152743,-0.09181914206152743
2025-05-07,5.875,0.10798644697825045,0.10798644697825045
2025-05-09,4.625,-0.22502286808804603,-0.22502286808804603
2025-05-11,1.125,-1.1574489502736762,-1.1574489502736762
2025-05-14,7.0,0.4076948305379173,0.4076948305379173
2025-05-18,3.0,-0.6579349776742315,-0.6579349776742315
2025-05-19,7.0,0.4076948305379173,0.4076948305379173
2025-05-20,4.0,-0.39152752562119425,-0.39152752562119425
2025-05-21,5.75,0.0746855154716208,0.0746855154716208
2025-05-22,0.875,-1.2240508132869354,-1.2240508132869354
