Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.2731188294299409,-0.2731188294299409
2024-11-04,3.5,0.11294387683193037,0.11294387683193037
2024-11-05,10.0,2.6223514675340933,2.6223514675340933
2024-11-06,5.0,0.6920379362247373,0.6920379362247373
2024-11-07,5.5,0.885069289355673,0.885069289355673
2024-11-10,3.0,-0.08008747629900527,-0.08008747629900527
2024-11-11,5.25,0.7885536127902051,0.7885536127902051
2024-11-17,3.25,0.016428200266462547,0.016428200266462547
2024-11-18,7.75,1.753710378444883,1.753710378444883
2024-11-19,3.5,0.11294387683193037,0.11294387683193037
2024-11-20,3.5,0.11294387683193037,0.11294387683193037
2024-11-21,4.25,0.4024909065283338,0.4024909065283338
2024-11-24,3.25,0.016428200266462547,0.016428200266462547
2024-11-25,2.5,-0.2731188294299409,-0.2731188294299409
2024-11-26,7.0,1.4641633487484798,1.4641633487484798
2024-12-01,5.5,0.885069289355673,0.885069289355673
2024-12-02,4.75,0.5955222596592694,0.5955222596592694
2024-12-03,6.0,1.0781006424866086,1.0781006424866086
2024-12-04,5.25,0.7885536127902051,0.7885536127902051
2024-12-05,4.0,0.305975229962866,0.305975229962866
2024-12-08,5.25,0.7885536127902051,0.7885536127902051
2024-12-10,2.0,-0.46615018256087654,-0.46615018256087654
2024-12-15,1.75,-0.5626658591263444,-0.5626658591263444
2024-12-16,3.25,0.016428200266462547,0.016428200266462547
2024-12-17,2.75,-0.1766031528644731,-0.1766031528644731
2024-12-18,3.75,0.2094595533973982,0.2094595533973982
2024-12-22,3.0,-0.08008747629900527,-0.08008747629900527
2024-12-23,0.5,-1.0452442419536834,-1.0452442419536834
2024-12-25,1.5,-0.6591815356918121,-0.6591815356918121
2024-12-26,3.75,0.2094595533973982,0.2094595533973982
2024-12-29,4.0,0.305975229962866,0.305975229962866
2024-12-30,1.5,-0.6591815356918121,-0.6591815356918121
2025-01-01,5.25,0.7885536127902051,0.7885536127902051
2025-01-02,2.75,-0.1766031528644731,-0.1766031528644731
2025-01-05,2.25,-0.36963450599540876,-0.36963450599540876
2025-01-06,2.5,-0.2731188294299409,-0.2731188294299409
2025-01-07,2.25,-0.36963450599540876,-0.36963450599540876
2025-01-08,2.75,-0.1766031528644731,-0.1766031528644731
2025-01-09,2.25,-0.36963450599540876,-0.36963450599540876
2025-01-12,2.0,-0.46615018256087654,-0.46615018256087654
2025-01-16,2.5,-0.2731188294299409,-0.2731188294299409
2025-01-19,2.5,-0.2731188294299409,-0.2731188294299409
2025-01-20,5.75,0.9815849659211408,0.9815849659211408
2025-01-21,4.5,0.49900658309380164,0.49900658309380164
2025-01-22,3.25,0.016428200266462547,0.016428200266462547
2025-01-23,3.5,0.11294387683193037,0.11294387683193037
2025-01-26,9.0,2.236288761272222,2.236288761272222
2025-01-27,3.75,0.2094595533973982,0.2094595533973982
2025-01-28,1.75,-0.5626658591263444,-0.5626658591263444
2025-01-29,3.25,0.016428200266462547,0.016428200266462547
2025-02-02,9.25,2.33280443783769,2.33280443783769
2025-02-03,2.25,-0.36963450599540876,-0.36963450599540876
2025-02-04,2.25,-0.36963450599540876,-0.36963450599540876
2025-02-05,1.75,-0.5626658591263444,-0.5626658591263444
2025-02-06,2.0,-0.46615018256087654,-0.46615018256087654
2025-02-09,2.75,-0.1766031528644731,-0.1766031528644731
2025-02-11,3.0,-0.08008747629900527,-0.08008747629900527
2025-02-16,2.75,-0.1766031528644731,-0.1766031528644731
2025-02-17,3.25,0.016428200266462547,0.016428200266462547
2025-02-18,1.5,-0.6591815356918121,-0.6591815356918121
2025-02-19,2.5,-0.2731188294299409,-0.2731188294299409
2025-02-20,2.75,-0.1766031528644731,-0.1766031528644731
2025-02-23,1.5,-0.6591815356918121,-0.6591815356918121
2025-02-24,3.5,0.11294387683193037,0.11294387683193037
2025-02-25,4.75,0.5955222596592694,0.5955222596592694
2025-02-26,3.0,-0.08008747629900527,-0.08008747629900527
2025-03-02,3.0,-0.08008747629900527,-0.08008747629900527
2025-03-03,5.75,0.9815849659211408,0.9815849659211408
2025-03-04,5.25,0.7885536127902051,0.7885536127902051
2025-03-05,5.75,0.9815849659211408,0.9815849659211408
2025-03-06,3.5,0.11294387683193037,0.11294387683193037
2025-03-09,4.0,0.305975229962866,0.305975229962866
2025-03-11,2.75,-0.1766031528644731,-0.1766031528644731
2025-03-16,3.5,0.11294387683193037,0.11294387683193037
2025-03-17,2.75,-0.1766031528644731,-0.1766031528644731
2025-03-18,1.75,-0.5626658591263444,-0.5626658591263444
2025-03-19,2.25,-0.36963450599540876,-0.36963450599540876
2025-03-20,2.25,-0.36963450599540876,-0.36963450599540876
2025-03-23,3.0,-0.08008747629900527,-0.08008747629900527
2025-03-24,1.75,-0.5626658591263444,-0.5626658591263444
2025-03-25,2.25,-0.36963450599540876,-0.36963450599540876
2025-03-26,2.75,-0.1766031528644731,-0.1766031528644731
2025-03-30,5.75,0.9815849659211408,0.9815849659211408
2025-03-31,3.0,-0.08008747629900527,-0.08008747629900527
2025-04-01,3.25,0.016428200266462547,0.016428200266462547
2025-04-02,9.5,2.4293201144031578,2.4293201144031578
2025-04-03,9.25,2.33280443783769,2.33280443783769
2025-04-06,14.75,4.456149322277982,4.456149322277982
2025-04-07,8.75,2.1397730847067544,2.1397730847067544
2025-04-08,22.5,7.448135295807485,7.448135295807485
2025-04-09,10.75,2.911898497230497,2.911898497230497
2025-04-13,9.25,2.33280443783769,2.33280443783769
