Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)"
count,136.0
mean,1.186580829411768
std,1.3653488220613064
min,0.3125
10%,0.4374992000000475
25%,0.4375005999999644
50%,0.6875
75%,1.0625
95%,4.53125
99%,6.225000000000001
max,7.8125
skewness,2.6155895043651043
kurtosis,6.814259787558591
