Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-0.7837551029312958,-0.7837551029312958
2024-10-16,3.0,-0.6272860086410551,-0.6272860086410551
2024-10-17,3.5,-0.4708169143508144,-0.4708169143508144
2024-10-18,3.5,-0.4708169143508144,-0.4708169143508144
2024-10-21,4.5,-0.15787872577033302,-0.15787872577033302
2024-10-22,3.0,-0.6272860086410551,-0.6272860086410551
2024-10-23,4.0,-0.3143478200605737,-0.3143478200605737
2024-10-24,4.0,-0.3143478200605737,-0.3143478200605737
2024-10-28,4.0,-0.3143478200605737,-0.3143478200605737
2024-10-29,7.0,0.6244667456808705,0.6244667456808705
2024-11-04,7.5,0.7809358399711112,0.7809358399711112
2024-11-05,5.0,-0.0014096314800923135,-0.0014096314800923135
2024-11-06,5.5,0.15505946281014837,0.15505946281014837
2024-11-07,7.5,0.7809358399711112,0.7809358399711112
2024-11-11,4.5,-0.15787872577033302,-0.15787872577033302
2024-11-15,5.5,0.15505946281014837,0.15505946281014837
2024-11-18,2.5,-0.7837551029312958,-0.7837551029312958
2024-11-19,4.5,-0.15787872577033302,-0.15787872577033302
2024-11-20,3.5,-0.4708169143508144,-0.4708169143508144
2024-11-21,4.0,-0.3143478200605737,-0.3143478200605737
2024-11-25,4.0,-0.3143478200605737,-0.3143478200605737
2024-11-26,5.0,-0.0014096314800923135,-0.0014096314800923135
2024-12-02,5.5,0.15505946281014837,0.15505946281014837
2024-12-03,6.5,0.46799765139062977,0.46799765139062977
2024-12-04,3.0,-0.6272860086410551,-0.6272860086410551
2024-12-05,5.5,0.15505946281014837,0.15505946281014837
2024-12-10,4.0,-0.3143478200605737,-0.3143478200605737
2024-12-13,3.5,-0.4708169143508144,-0.4708169143508144
2024-12-16,3.5,-0.4708169143508144,-0.4708169143508144
2024-12-17,4.0,-0.3143478200605737,-0.3143478200605737
2024-12-18,9.5,1.4068122171320738,1.4068122171320738
2024-12-23,3.5,-0.4708169143508144,-0.4708169143508144
2024-12-26,3.0,-0.6272860086410551,-0.6272860086410551
2024-12-27,4.0,-0.3143478200605737,-0.3143478200605737
2024-12-30,5.0,-0.0014096314800923135,-0.0014096314800923135
2024-12-31,2.5,-0.7837551029312958,-0.7837551029312958
2025-01-02,4.5,-0.15787872577033302,-0.15787872577033302
2025-01-03,2.0,-0.9402241972215365,-0.9402241972215365
2025-01-06,5.5,0.15505946281014837,0.15505946281014837
2025-01-07,4.0,-0.3143478200605737,-0.3143478200605737
2025-01-08,8.5,1.0938740285515924,1.0938740285515924
2025-01-16,4.0,-0.3143478200605737,-0.3143478200605737
2025-01-17,4.5,-0.15787872577033302,-0.15787872577033302
2025-01-21,5.0,-0.0014096314800923135,-0.0014096314800923135
2025-01-22,5.0,-0.0014096314800923135,-0.0014096314800923135
2025-01-23,3.0,-0.6272860086410551,-0.6272860086410551
2025-01-27,3.5,-0.4708169143508144,-0.4708169143508144
2025-01-28,4.0,-0.3143478200605737,-0.3143478200605737
2025-01-29,6.0,0.31152855710038907,0.31152855710038907
2025-02-03,8.5,1.0938740285515924,1.0938740285515924
2025-02-04,3.0,-0.6272860086410551,-0.6272860086410551
2025-02-05,3.0,-0.6272860086410551,-0.6272860086410551
2025-02-06,2.5,-0.7837551029312958,-0.7837551029312958
2025-02-11,1.5,-1.096693291511777,-1.096693291511777
2025-02-14,2.0,-0.9402241972215365,-0.9402241972215365
2025-02-18,4.0,-0.3143478200605737,-0.3143478200605737
2025-02-19,2.5,-0.7837551029312958,-0.7837551029312958
2025-02-20,2.5,-0.7837551029312958,-0.7837551029312958
2025-02-24,3.5,-0.4708169143508144,-0.4708169143508144
2025-02-25,4.0,-0.3143478200605737,-0.3143478200605737
2025-02-26,7.0,0.6244667456808705,0.6244667456808705
2025-03-03,10.0,1.5632813114223145,1.5632813114223145
2025-03-04,12.0,2.1891576885832773,2.1891576885832773
2025-03-05,7.0,0.6244667456808705,0.6244667456808705
2025-03-06,4.0,-0.3143478200605737,-0.3143478200605737
2025-03-11,3.5,-0.4708169143508144,-0.4708169143508144
2025-03-17,3.0,-0.6272860086410551,-0.6272860086410551
2025-03-18,4.0,-0.3143478200605737,-0.3143478200605737
2025-03-19,8.5,1.0938740285515924,1.0938740285515924
2025-03-20,2.5,-0.7837551029312958,-0.7837551029312958
2025-03-21,2.5,-0.7837551029312958,-0.7837551029312958
2025-03-24,2.0,-0.9402241972215365,-0.9402241972215365
2025-03-25,2.5,-0.7837551029312958,-0.7837551029312958
2025-03-26,5.0,-0.0014096314800923135,-0.0014096314800923135
2025-03-31,9.5,1.4068122171320738,1.4068122171320738
2025-04-01,4.0,-0.3143478200605737,-0.3143478200605737
2025-04-02,4.0,-0.3143478200605737,-0.3143478200605737
2025-04-03,6.0,0.31152855710038907,0.31152855710038907
2025-04-07,18.5,4.223255914356407,4.223255914356407
2025-04-08,17.5,3.9103177257759247,3.9103177257759247
2025-04-09,20.0,4.692663197227128,4.692663197227128
2025-04-15,4.0,-0.3143478200605737,-0.3143478200605737
2025-04-16,5.0,-0.0014096314800923135,-0.0014096314800923135
2025-04-17,4.0,-0.3143478200605737,-0.3143478200605737
2025-04-21,4.5,-0.15787872577033302,-0.15787872577033302
2025-04-22,3.0,-0.6272860086410551,-0.6272860086410551
2025-04-23,3.5,-0.4708169143508144,-0.4708169143508144
2025-04-24,2.0,-0.9402241972215365,-0.9402241972215365
2025-04-28,4.0,-0.3143478200605737,-0.3143478200605737
2025-04-29,4.0,-0.3143478200605737,-0.3143478200605737
2025-05-01,7.0,0.6244667456808705,0.6244667456808705
2025-05-05,3.5,-0.4708169143508144,-0.4708169143508144
2025-05-06,4.0,-0.3143478200605737,-0.3143478200605737
2025-05-07,5.0,-0.0014096314800923135,-0.0014096314800923135
2025-05-09,3.0,-0.6272860086410551,-0.6272860086410551
2025-05-14,3.0,-0.6272860086410551,-0.6272860086410551
2025-05-19,8.5,1.0938740285515924,1.0938740285515924
2025-05-20,4.0,-0.3143478200605737,-0.3143478200605737
2025-05-21,4.0,-0.3143478200605737,-0.3143478200605737
2025-05-22,5.5,0.15505946281014837,0.15505946281014837
2025-05-23,3.5,-0.4708169143508144,-0.4708169143508144
2025-05-27,6.0,0.31152855710038907,0.31152855710038907
2025-05-28,9.5,1.4068122171320738,1.4068122171320738
2025-06-02,14.0,2.81503406574424,2.81503406574424
2025-06-03,2.5,-0.7837551029312958,-0.7837551029312958
2025-06-04,3.0,-0.6272860086410551,-0.6272860086410551
2025-06-05,2.5,-0.7837551029312958,-0.7837551029312958
2025-06-10,11.0,1.876219500002796,1.876219500002796
2025-06-16,3.5,-0.4708169143508144,-0.4708169143508144
2025-06-17,3.0,-0.6272860086410551,-0.6272860086410551
2025-06-18,5.0,-0.0014096314800923135,-0.0014096314800923135
