Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)"
count,519.0
mean,3.4609826589595376
std,2.5127656312237567
min,0.0
10%,1.75
25%,2.25
50%,2.75
75%,3.75
95%,8.75
99%,13.57000000000005
max,23.25
skewness,3.7973106990287517
kurtosis,20.82127790753104
