Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZN)"
count,170.0
mean,8.225035184972429
std,4.999141160967525
min,1.5
10%,3.25
25%,5.25
50%,7.5
75%,10.1875
95%,16.549999999999983
99%,26.46250000000002
max,38.25
skewness,2.427193649758722
kurtosis,10.367260920549697
