Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)"
count,136.0
mean,2.494485294117647
std,2.262970211372636
min,0.375
10%,1.0625
25%,1.25
50%,1.75
75%,2.75
95%,6.53125
99%,12.868750000000002
max,15.5
skewness,3.2060580979342936
kurtosis,12.945015918986769
