Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.4936429237048057,-0.4936429237048057
2024-10-14,0.875,-0.21739672108208788,-0.21739672108208788
2024-10-16,0.5,-0.4936429237048057,-0.4936429237048057
2024-10-17,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-10-20,0.375,-0.5857249912457116,-0.5857249912457116
2024-10-21,0.75,-0.30947878862299383,-0.30947878862299383
2024-10-22,0.9374992000000475,-0.17135627663683217,-0.17135627663683217
2024-10-23,0.875,-0.21739672108208788,-0.21739672108208788
2024-10-24,0.5,-0.4936429237048057,-0.4936429237048057
2024-10-27,1.0,-0.1253146535411819,-0.1253146535411819
2024-10-28,0.5625007999999525,-0.4476013006091555,-0.4476013006091555
2024-10-29,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-11-03,1.1874992000000475,0.012807858444979748,0.012807858444979748
2024-11-04,0.4375007999999525,-0.5396833681500615,-0.5396833681500615
2024-11-05,4.1874992000000475,2.222777479426723,2.222777479426723
2024-11-06,0.875,-0.21739672108208788,-0.21739672108208788
2024-11-07,0.5624992000000475,-0.44760247925955005,-0.44760247925955005
2024-11-10,0.75,-0.30947878862299383,-0.30947878862299383
2024-11-11,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-11-17,0.8124992000000475,-0.26343834417773815,-0.26343834417773815
2024-11-18,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-11-19,0.5,-0.4936429237048057,-0.4936429237048057
2024-11-20,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-11-21,0.4374992000000475,-0.539684546800456,-0.539684546800456
2024-11-24,0.875,-0.21739672108208788,-0.21739672108208788
2024-11-25,0.875,-0.21739672108208788,-0.21739672108208788
2024-11-26,0.375,-0.5857249912457116,-0.5857249912457116
2024-11-28,0.5,-0.4936429237048057,-0.4936429237048057
2024-12-01,3.875,1.9925728998996552,1.9925728998996552
2024-12-02,3.6875,1.8544497985882964,1.8544497985882964
2024-12-03,0.6875,-0.3555198223934468,-0.3555198223934468
2024-12-04,0.5625,-0.44760188993435274,-0.44760188993435274
2024-12-05,0.4375,-0.5396839574752588,-0.5396839574752588
2024-12-10,0.5625,-0.44760188993435274,-0.44760188993435274
2024-12-15,0.4375,-0.5396839574752588,-0.5396839574752588
2024-12-16,0.5,-0.4936429237048057,-0.4936429237048057
2024-12-17,0.4375,-0.5396839574752588,-0.5396839574752588
2024-12-18,0.9375,-0.1713556873116349,-0.1713556873116349
2024-12-22,0.4375,-0.5396839574752588,-0.5396839574752588
2024-12-23,0.375,-0.5857249912457116,-0.5857249912457116
2024-12-25,0.75,-0.30947878862299383,-0.30947878862299383
2024-12-26,0.4375,-0.5396839574752588,-0.5396839574752588
2024-12-29,0.375,-0.5857249912457116,-0.5857249912457116
2024-12-30,0.4375,-0.5396839574752588,-0.5396839574752588
2025-01-01,0.8125,-0.26343775485254084,-0.26343775485254084
2025-01-02,0.4375,-0.5396839574752588,-0.5396839574752588
2025-01-05,0.5625,-0.44760188993435274,-0.44760188993435274
2025-01-06,0.6875,-0.3555198223934468,-0.3555198223934468
2025-01-07,0.4375,-0.5396839574752588,-0.5396839574752588
2025-01-08,0.6875,-0.3555198223934468,-0.3555198223934468
2025-01-09,0.625,-0.4015608561638998,-0.4015608561638998
2025-01-12,1.0,-0.1253146535411819,-0.1253146535411819
2025-01-16,0.375,-0.5857249912457116,-0.5857249912457116
2025-01-19,0.6875,-0.3555198223934468,-0.3555198223934468
2025-01-20,1.0625,-0.07927361977072893,-0.07927361977072893
2025-01-21,0.5625,-0.44760188993435274,-0.44760188993435274
2025-01-22,0.375,-0.5857249912457116,-0.5857249912457116
2025-01-23,1.0625,-0.07927361977072893,-0.07927361977072893
2025-01-26,0.6875,-0.3555198223934468,-0.3555198223934468
2025-01-27,0.75,-0.30947878862299383,-0.30947878862299383
2025-01-28,0.5,-0.4936429237048057,-0.4936429237048057
2025-01-29,0.375,-0.5857249912457116,-0.5857249912457116
2025-02-02,1.5625,0.2890546503928949,0.2890546503928949
2025-02-03,0.375,-0.5857249912457116,-0.5857249912457116
2025-02-04,0.4375,-0.5396839574752588,-0.5396839574752588
2025-02-05,0.5,-0.4936429237048057,-0.4936429237048057
2025-02-06,0.4375,-0.5396839574752588,-0.5396839574752588
2025-02-09,0.5625,-0.44760188993435274,-0.44760188993435274
2025-02-11,0.4375,-0.5396839574752588,-0.5396839574752588
2025-02-16,0.4375,-0.5396839574752588,-0.5396839574752588
2025-02-17,0.5,-0.4936429237048057,-0.4936429237048057
2025-02-18,0.3125,-0.6317660250161646,-0.6317660250161646
2025-02-19,0.5625,-0.44760188993435274,-0.44760188993435274
2025-02-20,0.6875,-0.3555198223934468,-0.3555198223934468
2025-02-23,0.5,-0.4936429237048057,-0.4936429237048057
2025-02-24,0.8125,-0.26343775485254084,-0.26343775485254084
2025-02-25,1.1875,0.012808447770177023,0.012808447770177023
2025-02-26,4.4375,2.406942203833732,2.406942203833732
2025-03-02,4.8125,2.6831884064564497,2.6831884064564497
2025-03-03,6.0625,3.6040090818655095,3.6040090818655095
2025-03-04,4.875,2.729229440226903,2.729229440226903
2025-03-05,5.0,2.821311507767809,2.821311507767809
2025-03-06,0.9375,-0.1713556873116349,-0.1713556873116349
2025-03-09,1.25,0.05884948154063,0.05884948154063
2025-03-11,0.625,-0.4015608561638998,-0.4015608561638998
2025-03-16,2.6875,1.1177932582610486,1.1177932582610486
2025-03-17,0.6875,-0.3555198223934468,-0.3555198223934468
2025-03-18,0.3125,-0.6317660250161646,-0.6317660250161646
2025-03-19,0.5,-0.4936429237048057,-0.4936429237048057
2025-03-20,0.4375,-0.5396839574752588,-0.5396839574752588
2025-03-23,0.8125,-0.26343775485254084,-0.26343775485254084
2025-03-24,0.5625,-0.44760188993435274,-0.44760188993435274
2025-03-25,0.4375,-0.5396839574752588,-0.5396839574752588
2025-03-26,0.8125,-0.26343775485254084,-0.26343775485254084
2025-03-30,1.625,0.3350956841633479,0.3350956841633479
2025-03-31,0.4375,-0.5396839574752588,-0.5396839574752588
2025-04-01,0.875,-0.21739672108208788,-0.21739672108208788
