Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-03-21,14.25,3.8806119472798017,3.8806119472798017
2023-03-22,5.25,0.28732313069158416,0.28732313069158416
2023-03-23,7.5,1.1856453348386387,1.1856453348386387
2023-03-24,18.0,5.377815620858226,5.377815620858226
2023-03-27,12.75,3.281730477848432,3.281730477848432
2023-03-28,9.5,1.9841539607471315,1.9841539607471315
2023-03-29,6.25,0.6865774436458305,0.6865774436458305
2023-04-03,4.5,-0.012117604024100656,-0.012117604024100656
2023-04-04,5.75,0.48695028716870736,0.48695028716870736
2023-04-05,4.0,-0.21174476050122384,-0.21174476050122384
2023-04-06,4.25,-0.11193118226266226,-0.11193118226266226
2023-04-11,5.25,0.28732313069158416,0.28732313069158416
2023-04-17,5.25,0.28732313069158416,0.28732313069158416
2023-04-18,4.0,-0.21174476050122384,-0.21174476050122384
2023-04-19,8.0,1.3852724913157617,1.3852724913157617
2023-04-20,6.25,0.6865774436458305,0.6865774436458305
2023-04-21,4.75,0.08769597421446094,0.08769597421446094
2023-04-24,4.0,-0.21174476050122384,-0.21174476050122384
2023-04-25,4.75,0.08769597421446094,0.08769597421446094
2023-04-26,3.75,-0.31155833873978545,-0.31155833873978545
2023-05-01,3.75,-0.31155833873978545,-0.31155833873978545
2023-05-02,6.75,0.8862046001229538,0.8862046001229538
2023-05-03,6.5,0.7863910218843921,0.7863910218843921
2023-05-04,4.75,0.08769597421446094,0.08769597421446094
2023-05-09,3.25,-0.5111854952169087,-0.5111854952169087
2023-05-15,2.5,-0.8106262299325935,-0.8106262299325935
2023-05-16,4.0,-0.21174476050122384,-0.21174476050122384
2023-05-17,3.25,-0.5111854952169087,-0.5111854952169087
2023-05-18,4.25,-0.11193118226266226,-0.11193118226266226
2023-05-19,4.25,-0.11193118226266226,-0.11193118226266226
2023-05-22,3.5,-0.4113719169783471,-0.4113719169783471
2023-05-23,5.5,0.38713670893014573,0.38713670893014573
2023-05-24,5.25,0.28732313069158416,0.28732313069158416
2023-05-30,20.5,6.375951403243842,6.375951403243842
2023-05-31,5.0,0.18750955245302253,0.18750955245302253
2023-06-01,3.25,-0.5111854952169087,-0.5111854952169087
2023-06-05,4.0,-0.21174476050122384,-0.21174476050122384
2023-06-06,7.25,1.085831756600077,1.085831756600077
2023-06-07,4.0,-0.21174476050122384,-0.21174476050122384
2023-06-08,3.75,-0.31155833873978545,-0.31155833873978545
2023-06-09,4.5,-0.012117604024100656,-0.012117604024100656
2023-06-15,5.25,0.28732313069158416,0.28732313069158416
2023-06-20,2.75,-0.7108126516940318,-0.7108126516940318
2023-06-21,5.5,0.38713670893014573,0.38713670893014573
2023-06-22,4.25,-0.11193118226266226,-0.11193118226266226
2023-06-23,8.5,1.584899647792885,1.584899647792885
