Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)"
count,117.0
mean,1.4332265094017085
std,1.2880189980445524
min,0.125
10%,0.4500000000000002
25%,0.6875
50%,1.0
75%,1.5
95%,4.462499999999999
99%,5.657500000000001
max,6.0
skewness,1.9650926490677731
kurtosis,3.1819467921442426
