"(Vol Return Stats:- Interval:1d, Symbol:ZN)",All day
count,5442.0
mean,10.225814645494534
std,5.777947109744988
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.2496337890625
95%,20.7503662109375
99%,29.545000000000073
99.7%,39.66924999999992
max,74.5
