Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-20,0.5,-0.7282596226130545,-0.7282596226130545
2025-05-21,0.75,-0.5313447330579163,-0.5313447330579163
2025-05-22,1.0,-0.334429843502778,-0.334429843502778
2025-05-23,2.3125,0.6993733266616979,0.6993733266616979
2025-05-26,0.25,-0.9251745121681928,-0.9251745121681928
2025-05-27,0.625,-0.6298021778354854,-0.6298021778354854
2025-05-28,5.6875,3.3577243356560644,3.3577243356560644
2025-06-02,5.0,2.8162083893794345,2.8162083893794345
2025-06-03,0.75,-0.5313447330579163,-0.5313447330579163
2025-06-04,1.625,0.1578573803850677,0.1578573803850677
2025-06-05,1.75,0.2563148251626368,0.2563148251626368
2025-06-10,0.375,-0.8267170673906237,-0.8267170673906237
2025-06-16,1.0625,-0.2852011211139934,-0.2852011211139934
2025-06-17,1.875,0.35477226994020594,0.35477226994020594
2025-06-18,0.75,-0.5313447330579163,-0.5313447330579163
2025-06-19,1.0625,-0.2852011211139934,-0.2852011211139934
2025-06-20,1.0,-0.334429843502778,-0.334429843502778
2025-06-23,0.125,-1.023631956945762,-1.023631956945762
