Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.4965606562062977,-0.4965606562062977
2024-10-14,5.0,-0.34684961831671196,-0.34684961831671196
2024-10-16,5.0,-0.34684961831671196,-0.34684961831671196
2024-10-17,3.5,-0.5714161751510906,-0.5714161751510906
2024-10-20,4.5,-0.4217051372615048,-0.4217051372615048
2024-10-21,6.5,-0.12228306148233334,-0.12228306148233334
2024-10-22,6.0,-0.1971385804271262,-0.1971385804271262
2024-10-23,6.0,-0.1971385804271262,-0.1971385804271262
2024-10-24,6.0,-0.1971385804271262,-0.1971385804271262
2024-10-27,19.0,1.7491049121374884,1.7491049121374884
2024-10-28,5.0,-0.34684961831671196,-0.34684961831671196
2024-10-29,5.5,-0.2719940993719191,-0.2719940993719191
2024-11-03,8.0,0.10228349535204526,0.10228349535204526
2024-11-04,5.0,-0.34684961831671196,-0.34684961831671196
2024-11-05,50.0,6.390147086714646,6.390147086714646
2024-11-06,4.5,-0.4217051372615048,-0.4217051372615048
2024-11-07,7.0,-0.047427542537540474,-0.047427542537540474
2024-11-10,8.5,0.17713901429683812,0.17713901429683812
2024-11-11,6.5,-0.12228306148233334,-0.12228306148233334
2024-11-17,4.5,-0.4217051372615048,-0.4217051372615048
2024-11-18,4.5,-0.4217051372615048,-0.4217051372615048
2024-11-19,4.5,-0.4217051372615048,-0.4217051372615048
2024-11-20,2.5,-0.7211272130406763,-0.7211272130406763
2024-11-21,3.5,-0.5714161751510906,-0.5714161751510906
2024-11-24,9.5,0.3268500521864239,0.3268500521864239
2024-11-25,6.5,-0.12228306148233334,-0.12228306148233334
2024-11-26,3.0,-0.6462716940958834,-0.6462716940958834
2024-11-28,3.5,-0.5714161751510906,-0.5714161751510906
2024-12-01,9.0,0.251994533241631,0.251994533241631
2024-12-02,7.5,0.027427976407252395,0.027427976407252395
2024-12-03,6.0,-0.1971385804271262,-0.1971385804271262
2024-12-04,4.0,-0.4965606562062977,-0.4965606562062977
2024-12-05,4.5,-0.4217051372615048,-0.4217051372615048
2024-12-08,5.0,-0.34684961831671196,-0.34684961831671196
2024-12-10,4.0,-0.4965606562062977,-0.4965606562062977
2024-12-15,2.5,-0.7211272130406763,-0.7211272130406763
2024-12-16,3.0,-0.6462716940958834,-0.6462716940958834
2024-12-17,2.5,-0.7211272130406763,-0.7211272130406763
2024-12-18,5.0,-0.34684961831671196,-0.34684961831671196
2024-12-22,4.0,-0.4965606562062977,-0.4965606562062977
2024-12-23,2.5,-0.7211272130406763,-0.7211272130406763
2024-12-25,6.5,-0.12228306148233334,-0.12228306148233334
2024-12-26,4.5,-0.4217051372615048,-0.4217051372615048
2024-12-29,3.0,-0.6462716940958834,-0.6462716940958834
2024-12-30,5.0,-0.34684961831671196,-0.34684961831671196
2025-01-01,7.5,0.027427976407252395,0.027427976407252395
2025-01-02,3.0,-0.6462716940958834,-0.6462716940958834
2025-01-05,7.5,0.027427976407252395,0.027427976407252395
2025-01-06,5.0,-0.34684961831671196,-0.34684961831671196
2025-01-07,4.0,-0.4965606562062977,-0.4965606562062977
2025-01-08,6.5,-0.12228306148233334,-0.12228306148233334
2025-01-09,4.5,-0.4217051372615048,-0.4217051372615048
2025-01-12,7.5,0.027427976407252395,0.027427976407252395
2025-01-16,2.5,-0.7211272130406763,-0.7211272130406763
2025-01-19,3.0,-0.6462716940958834,-0.6462716940958834
2025-01-20,12.5,0.775983165855181,0.775983165855181
2025-01-21,3.5,-0.5714161751510906,-0.5714161751510906
2025-01-22,3.0,-0.6462716940958834,-0.6462716940958834
2025-01-23,5.0,-0.34684961831671196,-0.34684961831671196
2025-01-26,10.5,0.4765610900760096,0.4765610900760096
2025-01-27,5.0,-0.34684961831671196,-0.34684961831671196
2025-01-28,4.0,-0.4965606562062977,-0.4965606562062977
2025-01-29,4.5,-0.4217051372615048,-0.4217051372615048
2025-02-02,17.5,1.5245383553031098,1.5245383553031098
2025-02-03,4.0,-0.4965606562062977,-0.4965606562062977
2025-02-04,5.0,-0.34684961831671196,-0.34684961831671196
2025-02-05,3.5,-0.5714161751510906,-0.5714161751510906
2025-02-06,3.5,-0.5714161751510906,-0.5714161751510906
2025-02-09,4.5,-0.4217051372615048,-0.4217051372615048
2025-02-11,6.5,-0.12228306148233334,-0.12228306148233334
2025-02-16,5.5,-0.2719940993719191,-0.2719940993719191
2025-02-17,6.5,-0.12228306148233334,-0.12228306148233334
2025-02-18,2.5,-0.7211272130406763,-0.7211272130406763
2025-02-19,4.0,-0.4965606562062977,-0.4965606562062977
2025-02-20,5.0,-0.34684961831671196,-0.34684961831671196
2025-02-23,4.0,-0.4965606562062977,-0.4965606562062977
2025-02-24,7.0,-0.047427542537540474,-0.047427542537540474
2025-02-25,9.5,0.3268500521864239,0.3268500521864239
2025-02-26,9.5,0.3268500521864239,0.3268500521864239
2025-03-02,7.5,0.027427976407252395,0.027427976407252395
2025-03-03,11.5,0.6262721279655953,0.6262721279655953
2025-03-04,12.5,0.775983165855181,0.775983165855181
2025-03-05,11.0,0.5514166090208025,0.5514166090208025
2025-03-06,7.5,0.027427976407252395,0.027427976407252395
2025-03-09,9.0,0.251994533241631,0.251994533241631
2025-03-11,7.5,0.027427976407252395,0.027427976407252395
2025-03-16,6.5,-0.12228306148233334,-0.12228306148233334
2025-03-17,4.5,-0.4217051372615048,-0.4217051372615048
2025-03-18,4.0,-0.4965606562062977,-0.4965606562062977
