"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,128.0,130.0,130.0,122.0,155.0,170.0
mean,1.97265625,2.0615384615384613,2.898076923076923,1.0307377049180328,1.6758064516129032,3.8661764705882353
std,1.6787328762736167,1.8513198566664641,2.327101899326913,0.9650813934181727,2.0770808283479423,4.146730382853718
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.25,0.25
25%,0.75,0.75,1.0,0.25,0.5,1.0
50%,1.625,1.5,2.75,0.75,1.25,2.75
68%,2.5,2.25,3.6800000000000033,1.25,1.75,4.5
90%,3.8249999999999993,4.050000000000004,5.775000000000002,2.25,3.25,7.849999999999994
95%,5.0,5.387499999999999,7.0,2.5,4.1499999999999915,11.299999999999983
99%,7.892500000000009,8.177499999999998,8.927499999999998,4.434999999999988,10.37500000000005,18.127500000000012
99.7%,9.4285,9.782499999999999,12.218249999999998,5.705500000000001,16.17100000000005,26.310249999999954
max,10.0,10.75,14.25,6.25,18.25,31.0
