Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZT)"
count,110.0
mean,1.2733087422159108
std,1.2422535305562015
min,0.3124992000000475
10%,0.49375
25%,0.625
50%,0.875
75%,1.359375
95%,4.875
99%,5.556875
max,5.9375
skewness,2.471368342302472
kurtosis,5.484495540411109
