Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZT)"
count,149.0
mean,2.4324664268456386
std,2.0077252192806547
min,0.375
10%,0.75
25%,1.1875
50%,1.875
75%,2.625
95%,7.162499999999996
99%,8.950000000000006
max,11.25
skewness,1.9690898834100488
kurtosis,3.979514604836359
