Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:15m, Symbol:ZN)"
count,168.0
mean,4.430095127650671
std,2.3795368447259495
min,1.5
10%,2.25
25%,2.75
50%,3.75
75%,5.3125
95%,8.650000000000006
99%,13.32250000000004
max,16.0
skewness,2.1207851341565407
kurtosis,6.2985783397442585
