Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.1023461693149534,-1.1023461693149534
2024-10-14,14.5,-0.24076878659360473,-0.24076878659360473
2024-10-16,10.0,-0.6100162363313256,-0.6100162363313256
2024-10-17,20.0,0.21053365197472076,0.21053365197472076
2024-10-18,15.0,-0.19974129217830242,-0.19974129217830242
2024-10-20,4.5,-1.061318674899651,-1.061318674899651
2024-10-21,32.0,1.1951935179419764,1.1951935179419764
2024-10-22,13.5,-0.32282377542420937,-0.32282377542420937
2024-10-23,9.0,-0.6920712251619302,-0.6920712251619302
2024-10-24,15.0,-0.19974129217830242,-0.19974129217830242
2024-10-27,19.0,0.12847866314411613,0.12847866314411613
2024-10-28,16.0,-0.11768630334769777,-0.11768630334769777
2024-10-29,22.0,0.37464362963593006,0.37464362963593006
2024-11-03,8.0,-0.7741262139925349,-0.7741262139925349
2024-11-04,15.0,-0.19974129217830242,-0.19974129217830242
2024-11-05,50.0,2.6721833168928595,2.6721833168928595
2024-11-06,27.0,0.7849185737889532,0.7849185737889532
2024-11-07,29.0,0.9490285514501625,0.9490285514501625
2024-11-10,8.5,-0.7330987195772325,-0.7330987195772325
2024-11-11,15.0,-0.19974129217830242,-0.19974129217830242
2024-11-15,21.0,0.29258864080532543,0.29258864080532543
2024-11-17,4.5,-1.061318674899651,-1.061318674899651
2024-11-18,21.5,0.3336161352206277,0.3336161352206277
2024-11-19,17.0,-0.035631314517093136,-0.035631314517093136
2024-11-20,13.0,-0.36385126983951166,-0.36385126983951166
2024-11-21,14.5,-0.24076878659360473,-0.24076878659360473
2024-11-24,9.5,-0.6510437307466279,-0.6510437307466279
2024-11-25,24.0,0.5387536072971393,0.5387536072971393
2024-11-26,10.5,-0.5689887419160232,-0.5689887419160232
2024-11-28,7.5,-0.8151537084078372,-0.8151537084078372
2024-11-29,13.0,-0.36385126983951166,-0.36385126983951166
2024-12-01,9.0,-0.6920712251619302,-0.6920712251619302
2024-12-02,19.5,0.16950615755941845,0.16950615755941845
2024-12-03,20.0,0.21053365197472076,0.21053365197472076
2024-12-04,21.5,0.3336161352206277,0.3336161352206277
2024-12-05,15.5,-0.1587137977630001,-0.1587137977630001
2024-12-08,5.0,-1.0202911804843489,-1.0202911804843489
2024-12-10,15.5,-0.1587137977630001,-0.1587137977630001
2024-12-13,22.0,0.37464362963593006,0.37464362963593006
2024-12-15,2.5,-1.2254286525608604,-1.2254286525608604
2024-12-16,12.0,-0.4459062586701163,-0.4459062586701163
2024-12-17,16.0,-0.11768630334769777,-0.11768630334769777
2024-12-18,28.5,0.9080010570348601,0.9080010570348601
2024-12-22,4.0,-1.1023461693149534,-1.1023461693149534
2024-12-23,16.5,-0.07665880893239545,-0.07665880893239545
2024-12-24,12.0,-0.4459062586701163,-0.4459062586701163
2024-12-25,6.5,-0.8972086972384418,-0.8972086972384418
2024-12-26,15.5,-0.1587137977630001,-0.1587137977630001
2024-12-27,15.0,-0.19974129217830242,-0.19974129217830242
2024-12-29,3.0,-1.184401158145558,-1.184401158145558
2024-12-30,21.5,0.3336161352206277,0.3336161352206277
2024-12-31,18.0,0.0464236743135115,0.0464236743135115
2025-01-01,7.5,-0.8151537084078372,-0.8151537084078372
2025-01-02,18.0,0.0464236743135115,0.0464236743135115
2025-01-03,14.5,-0.24076878659360473,-0.24076878659360473
2025-01-05,7.5,-0.8151537084078372,-0.8151537084078372
2025-01-06,15.0,-0.19974129217830242,-0.19974129217830242
2025-01-07,20.0,0.21053365197472076,0.21053365197472076
2025-01-08,15.5,-0.1587137977630001,-0.1587137977630001
2025-01-09,12.0,-0.4459062586701163,-0.4459062586701163
2025-01-12,7.5,-0.8151537084078372,-0.8151537084078372
2025-01-16,19.5,0.16950615755941845,0.16950615755941845
2025-01-17,12.5,-0.404878764254814,-0.404878764254814
2025-01-19,3.0,-1.184401158145558,-1.184401158145558
2025-01-20,25.5,0.6618360905430463,0.6618360905430463
2025-01-21,11.0,-0.5279612475007209,-0.5279612475007209
2025-01-22,12.0,-0.4459062586701163,-0.4459062586701163
2025-01-23,15.5,-0.1587137977630001,-0.1587137977630001
2025-01-26,10.5,-0.5689887419160232,-0.5689887419160232
2025-01-27,18.0,0.0464236743135115,0.0464236743135115
2025-01-28,11.5,-0.48693375308541864,-0.48693375308541864
2025-01-29,17.0,-0.035631314517093136,-0.035631314517093136
2025-02-02,17.5,0.0053961798982091825,0.0053961798982091825
2025-02-03,18.5,0.08745116872881381,0.08745116872881381
2025-02-04,20.5,0.2515611463900231,0.2515611463900231
2025-02-05,26.5,0.7438910793736508,0.7438910793736508
2025-02-06,11.0,-0.5279612475007209,-0.5279612475007209
2025-02-09,4.5,-1.061318674899651,-1.061318674899651
2025-02-11,14.5,-0.24076878659360473,-0.24076878659360473
2025-02-14,21.5,0.3336161352206277,0.3336161352206277
2025-02-16,5.5,-0.9792636860690465,-0.9792636860690465
2025-02-17,7.0,-0.8561812028231395,-0.8561812028231395
2025-02-18,11.5,-0.48693375308541864,-0.48693375308541864
2025-02-19,11.5,-0.48693375308541864,-0.48693375308541864
2025-02-20,9.5,-0.6510437307466279,-0.6510437307466279
2025-02-23,4.0,-1.1023461693149534,-1.1023461693149534
2025-02-24,17.0,-0.035631314517093136,-0.035631314517093136
2025-02-25,23.0,0.45669861846653464,0.45669861846653464
2025-02-26,19.0,0.12847866314411613,0.12847866314411613
2025-03-02,7.5,-0.8151537084078372,-0.8151537084078372
