Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-04-20,3.75,-0.48597216358501155,-0.48597216358501155
2023-04-21,3.5,-0.5724747877657996,-0.5724747877657996
2023-04-24,5.0,-0.05345904268107092,-0.05345904268107092
2023-04-25,7.5,0.8115671991268103,0.8115671991268103
2023-04-26,10.25,1.7630960651154797,1.7630960651154797
2023-05-01,4.25,-0.3129669152234353,-0.3129669152234353
2023-05-02,3.5,-0.5724747877657996,-0.5724747877657996
2023-05-03,7.5,0.8115671991268103,0.8115671991268103
2023-05-04,12.5,2.541619682742573,2.541619682742573
2023-05-09,2.75,-0.831982660308164,-0.831982660308164
2023-05-15,2.25,-1.0049879086697402,-1.0049879086697402
2023-05-16,4.25,-0.3129669152234353,-0.3129669152234353
2023-05-17,6.75,0.5520593265844459,0.5520593265844459
2023-05-18,4.0,-0.3994695394042234,-0.3994695394042234
2023-05-19,8.25,1.0710750716691746,1.0710750716691746
2023-05-22,7.25,0.7250645749460222,0.7250645749460222
2023-05-23,6.5,0.4655567024036578,0.4655567024036578
2023-05-24,4.5,-0.22646429104264718,-0.22646429104264718
2023-05-30,3.5,-0.5724747877657996,-0.5724747877657996
2023-05-31,1.75,-1.1779931570313165,-1.1779931570313165
2023-06-01,2.5,-0.9184852844889522,-0.9184852844889522
2023-06-05,3.75,-0.48597216358501155,-0.48597216358501155
2023-06-06,4.5,-0.22646429104264718,-0.22646429104264718
2023-06-07,11.25,2.109106561838632,2.109106561838632
2023-06-08,4.5,-0.22646429104264718,-0.22646429104264718
2023-06-09,3.75,-0.48597216358501155,-0.48597216358501155
2023-06-15,6.0,0.29255145404208155,0.29255145404208155
2023-06-20,3.75,-0.48597216358501155,-0.48597216358501155
2023-06-21,8.75,1.2440803200307509,1.2440803200307509
2023-06-22,2.75,-0.831982660308164,-0.831982660308164
2023-06-23,2.75,-0.831982660308164,-0.831982660308164
2023-06-26,4.0,-0.3994695394042234,-0.3994695394042234
2023-06-27,3.5,-0.5724747877657996,-0.5724747877657996
2023-06-28,7.0,0.638561950765234,0.638561950765234
2023-07-03,10.0,1.6765934409346916,1.6765934409346916
2023-07-05,9.25,1.4170855683923271,1.4170855683923271
2023-07-06,6.25,0.3790540782228697,0.3790540782228697
2023-07-11,4.25,-0.3129669152234353,-0.3129669152234353
2023-07-17,4.5,-0.22646429104264718,-0.22646429104264718
2023-07-18,5.75,0.20604882986129344,0.20604882986129344
2023-07-19,6.0,0.29255145404208155,0.29255145404208155
2023-07-20,5.75,0.20604882986129344,0.20604882986129344
2023-07-21,2.75,-0.831982660308164,-0.831982660308164
2023-07-24,5.0,-0.05345904268107092,-0.05345904268107092
2023-07-25,4.0,-0.3994695394042234,-0.3994695394042234
2023-07-26,8.25,1.0710750716691746,1.0710750716691746
2023-07-31,3.75,-0.48597216358501155,-0.48597216358501155
2023-08-01,2.25,-1.0049879086697402,-1.0049879086697402
2023-08-02,6.75,0.5520593265844459,0.5520593265844459
2023-08-03,4.75,-0.13996166686185904,-0.13996166686185904
2023-08-07,3.75,-0.48597216358501155,-0.48597216358501155
2023-08-08,4.75,-0.13996166686185904,-0.13996166686185904
2023-08-09,4.0,-0.3994695394042234,-0.3994695394042234
2023-08-15,7.5,0.8115671991268103,0.8115671991268103
2023-08-16,7.25,0.7250645749460222,0.7250645749460222
2023-08-17,4.25,-0.3129669152234353,-0.3129669152234353
2023-08-18,4.0,-0.3994695394042234,-0.3994695394042234
2023-08-21,4.0,-0.3994695394042234,-0.3994695394042234
2023-08-22,4.75,-0.13996166686185904,-0.13996166686185904
2023-08-23,3.75,-0.48597216358501155,-0.48597216358501155
2023-08-24,5.0,-0.05345904268107092,-0.05345904268107092
2023-08-28,3.75,-0.48597216358501155,-0.48597216358501155
2023-08-29,4.5,-0.22646429104264718,-0.22646429104264718
2023-09-05,9.5,1.5035881925731154,1.5035881925731154
2023-09-06,8.0,0.9845724474883866,0.9845724474883866
2023-09-07,9.75,1.5900908167539034,1.5900908167539034
2023-09-08,11.75,2.2821118102002083,2.2821118102002083
2023-09-12,8.25,1.0710750716691746,1.0710750716691746
