Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)"
count,130.0
mean,5.348076923076923
std,2.7561587403103087
min,1.0
10%,2.5
25%,3.5
50%,4.75
75%,6.5
95%,10.3875
99%,15.137499999999992
max,15.75
skewness,1.4327621599071734
kurtosis,2.8671388107386546
