Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-17,8.0,-0.10109937570130392,-0.10109937570130392
2025-03-18,7.5,-0.19782544944505026,-0.19782544944505026
2025-03-19,11.25,0.5276201036330473,0.5276201036330473
2025-03-20,8.5,-0.004373301957557576,-0.004373301957557576
2025-03-21,6.5,-0.39127759693254294,-0.39127759693254294
2025-03-23,3.0,-1.0683601131387672,-1.0683601131387672
2025-03-24,7.5,-0.19782544944505026,-0.19782544944505026
2025-03-25,8.0,-0.10109937570130392,-0.10109937570130392
2025-03-26,4.75,-0.7298188550356551,-0.7298188550356551
2025-03-30,5.75,-0.5363667075481624,-0.5363667075481624
2025-03-31,9.25,0.14071580865806194,0.14071580865806194
2025-04-01,6.25,-0.4396406338044161,-0.4396406338044161
2025-04-02,23.5,2.8974089103548324,2.8974089103548324
2025-04-03,17.25,1.6883329885580034,1.6883329885580034
2025-04-06,14.75,1.2047026198392716,1.2047026198392716
2025-04-07,38.25,5.75082808579535,5.75082808579535
2025-04-08,32.5,4.638478237742267,4.638478237742267
2025-04-09,19.5,2.123600320404862,2.123600320404862
2025-04-13,9.25,0.14071580865806194,0.14071580865806194
2025-04-15,11.5,0.5759831405049205,0.5759831405049205
2025-04-16,10.25,0.3341679561455546,0.3341679561455546
2025-04-17,6.25,-0.4396406338044161,-0.4396406338044161
2025-04-20,2.5,-1.1650861868825138,-1.1650861868825138
2025-04-21,9.75,0.23744188240180827,0.23744188240180827
2025-04-22,8.0,-0.10109937570130392,-0.10109937570130392
2025-04-23,11.5,0.5759831405049205,0.5759831405049205
2025-04-24,8.0,-0.10109937570130392,-0.10109937570130392
2025-04-27,2.25,-1.2134492237543868,-1.2134492237543868
2025-04-28,10.5,0.38253099301742777,0.38253099301742777
2025-04-29,9.5,0.1890788455299351,0.1890788455299351
2025-05-01,14.5,1.1563395829673986,1.1563395829673986
2025-05-04,3.5,-0.971634039395021,-0.971634039395021
2025-05-05,8.5,-0.004373301957557576,-0.004373301957557576
2025-05-06,8.5,-0.004373301957557576,-0.004373301957557576
2025-05-07,9.0,0.09235277178618877,0.09235277178618877
2025-05-09,5.0,-0.681455818163782,-0.681455818163782
