Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,3.75,0.08158733874078926,0.08158733874078926
2022-12-21,2.5,-0.40104198902162624,-0.40104198902162624
2022-12-27,2.5,-0.40104198902162624,-0.40104198902162624
2022-12-28,3.25,-0.11146439236417695,-0.11146439236417695
2022-12-29,1.5,-0.7871454512315587,-0.7871454512315587
2023-01-03,4.25,0.2746390698457555,0.2746390698457555
2023-01-04,4.0,0.17811320429327235,0.17811320429327235
2023-01-05,2.5,-0.40104198902162624,-0.40104198902162624
2023-01-08,2.75,-0.30451612346914314,-0.30451612346914314
2023-01-10,4.25,0.2746390698457555,0.2746390698457555
2023-01-11,5.5,0.757268397608171,0.757268397608171
2023-01-15,3.0,-0.20799025791666004,-0.20799025791666004
2023-01-17,10.0,2.4947339775528667,2.4947339775528667
2023-01-19,4.25,0.2746390698457555,0.2746390698457555
2023-01-22,3.0,-0.20799025791666004,-0.20799025791666004
2023-01-23,2.0,-0.5940937201265925,-0.5940937201265925
2023-01-24,3.25,-0.11146439236417695,-0.11146439236417695
2023-01-25,1.5,-0.7871454512315587,-0.7871454512315587
2023-01-29,3.75,0.08158733874078926,0.08158733874078926
2023-01-30,2.5,-0.40104198902162624,-0.40104198902162624
2023-01-31,2.5,-0.40104198902162624,-0.40104198902162624
2023-02-01,3.0,-0.20799025791666004,-0.20799025791666004
2023-02-02,3.75,0.08158733874078926,0.08158733874078926
2023-02-05,4.25,0.2746390698457555,0.2746390698457555
2023-02-06,4.75,0.46769080095072163,0.46769080095072163
2023-02-07,4.25,0.2746390698457555,0.2746390698457555
2023-02-08,3.0,-0.20799025791666004,-0.20799025791666004
2023-02-09,2.75,-0.30451612346914314,-0.30451612346914314
2023-02-12,2.75,-0.30451612346914314,-0.30451612346914314
2023-02-15,5.75,0.8537942631606541,0.8537942631606541
2023-02-19,3.25,-0.11146439236417695,-0.11146439236417695
2023-02-21,4.0,0.17811320429327235,0.17811320429327235
2023-02-22,1.5,-0.7871454512315587,-0.7871454512315587
2023-02-26,3.0,-0.20799025791666004,-0.20799025791666004
2023-02-27,9.5,2.3016822464479008,2.3016822464479008
2023-02-28,10.25,2.59125984310535,2.59125984310535
2023-03-01,12.0,3.2669409019727316,3.2669409019727316
2023-03-02,9.0,2.1086305153429343,2.1086305153429343
2023-03-05,10.5,2.687785708657833,2.687785708657833
2023-03-06,3.0,-0.20799025791666004,-0.20799025791666004
2023-03-07,5.5,0.757268397608171,0.757268397608171
2023-03-08,3.0,-0.20799025791666004,-0.20799025791666004
2023-03-09,12.25,3.363466767525215,3.363466767525215
2023-03-12,21.5,6.93492379296709,6.93492379296709
2023-03-16,4.75,0.46769080095072163,0.46769080095072163
2023-03-19,13.75,3.942621960840113,3.942621960840113
2023-03-20,8.5,1.9155787842379681,1.9155787842379681
2023-03-21,4.25,0.2746390698457555,0.2746390698457555
2023-03-22,5.5,0.757268397608171,0.757268397608171
2023-03-23,9.0,2.1086305153429343,2.1086305153429343
2023-03-26,5.0,0.5642166665032048,0.5642166665032048
2023-03-27,5.0,0.5642166665032048,0.5642166665032048
2023-03-28,2.75,-0.30451612346914314,-0.30451612346914314
2023-03-29,2.75,-0.30451612346914314,-0.30451612346914314
2023-04-02,6.5,1.1433718598181033,1.1433718598181033
2023-04-03,3.75,0.08158733874078926,0.08158733874078926
2023-04-04,2.5,-0.40104198902162624,-0.40104198902162624
2023-04-05,3.0,-0.20799025791666004,-0.20799025791666004
2023-04-06,1.5,-0.7871454512315587,-0.7871454512315587
2023-04-09,2.25,-0.49756785457410935,-0.49756785457410935
2023-04-11,1.25,-0.8836713167840418,-0.8836713167840418
2023-04-16,2.5,-0.40104198902162624,-0.40104198902162624
2023-04-17,2.0,-0.5940937201265925,-0.5940937201265925
2023-04-18,2.0,-0.5940937201265925,-0.5940937201265925
2023-04-19,1.75,-0.6906195856790756,-0.6906195856790756
2023-04-20,2.0,-0.5940937201265925,-0.5940937201265925
2023-04-23,1.75,-0.6906195856790756,-0.6906195856790756
2023-04-24,3.0,-0.20799025791666004,-0.20799025791666004
2023-04-25,2.75,-0.30451612346914314,-0.30451612346914314
2023-04-26,2.5,-0.40104198902162624,-0.40104198902162624
2023-04-30,3.5,-0.014938526811693846,-0.014938526811693846
2023-05-01,2.5,-0.40104198902162624,-0.40104198902162624
2023-05-02,1.75,-0.6906195856790756,-0.6906195856790756
2023-05-03,7.5,1.5294753220280357,1.5294753220280357
2023-05-04,2.25,-0.49756785457410935,-0.49756785457410935
2023-05-07,3.5,-0.014938526811693846,-0.014938526811693846
2023-05-09,1.75,-0.6906195856790756,-0.6906195856790756
2023-05-14,2.0,-0.5940937201265925,-0.5940937201265925
2023-05-15,3.0,-0.20799025791666004,-0.20799025791666004
2023-05-16,2.5,-0.40104198902162624,-0.40104198902162624
2023-05-17,2.5,-0.40104198902162624,-0.40104198902162624
2023-05-18,1.75,-0.6906195856790756,-0.6906195856790756
2023-05-21,3.75,0.08158733874078926,0.08158733874078926
2023-05-22,2.0,-0.5940937201265925,-0.5940937201265925
2023-05-23,3.25,-0.11146439236417695,-0.11146439236417695
2023-05-24,4.75,0.46769080095072163,0.46769080095072163
2023-05-28,4.75,0.46769080095072163,0.46769080095072163
2023-05-30,3.5,-0.014938526811693846,-0.014938526811693846
2023-05-31,5.75,0.8537942631606541,0.8537942631606541
2023-06-01,2.25,-0.49756785457410935,-0.49756785457410935
2023-06-04,3.5,-0.014938526811693846,-0.014938526811693846
2023-06-05,3.25,-0.11146439236417695,-0.11146439236417695
2023-06-06,2.0,-0.5940937201265925,-0.5940937201265925
2023-06-07,2.5,-0.40104198902162624,-0.40104198902162624
2023-06-08,2.5,-0.40104198902162624,-0.40104198902162624
2023-06-11,3.25,-0.11146439236417695,-0.11146439236417695
2023-06-15,4.0,0.17811320429327235,0.17811320429327235
2023-06-18,2.0,-0.5940937201265925,-0.5940937201265925
2023-06-20,3.0,-0.20799025791666004,-0.20799025791666004
2023-06-21,1.5,-0.7871454512315587,-0.7871454512315587
2023-06-22,2.0,-0.5940937201265925,-0.5940937201265925
2023-06-25,2.25,-0.49756785457410935,-0.49756785457410935
2023-06-26,2.5,-0.40104198902162624,-0.40104198902162624
2023-06-27,1.75,-0.6906195856790756,-0.6906195856790756
