Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)"
count,145.0
mean,4.0827864022090505
std,2.362905152311459
min,0.5
10%,1.5
25%,2.5
50%,3.75
75%,5.25
95%,8.75
99%,11.450000000000003
max,12.0
skewness,1.2559257339405976
kurtosis,1.6020369497808735
