Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.28345879788889244,-0.28345879788889244
2024-10-16,1.0,-0.2341628845186622,-0.2341628845186622
2024-10-17,0.375,-0.7271157084251932,-0.7271157084251932
2024-10-18,0.6874992000000475,-0.48063992745150486,-0.48063992745150486
2024-10-21,1.5625007999999525,0.2094952879767929,0.2094952879767929
2024-10-22,0.6874992000000475,-0.48063992745150486,-0.48063992745150486
2024-10-23,0.625,-0.5299345788625809,-0.5299345788625809
2024-10-24,0.875,-0.3327534492999684,-0.3327534492999684
2024-10-28,1.1874992000000475,-0.08627766832628002,-0.08627766832628002
2024-10-29,1.0625007999999525,-0.18486697114843195,-0.18486697114843195
2024-11-04,0.875,-0.3327534492999684,-0.3327534492999684
2024-11-05,0.8124992000000475,-0.3820493626701987,-0.3820493626701987
2024-11-06,2.0,0.5545616337317875,0.5545616337317875
2024-11-07,1.25,-0.03698175495604977,-0.03698175495604977
2024-11-11,0.75,-0.43134401408127465,-0.43134401408127465
2024-11-15,1.375,0.06160880982525644,0.06160880982525644
2024-11-18,0.875,-0.3327534492999684,-0.3327534492999684
2024-11-19,2.125,0.6531521985130937,0.6531521985130937
2024-11-20,0.8124992000000475,-0.3820493626701987,-0.3820493626701987
2024-11-21,1.0625007999999525,-0.18486697114843195,-0.18486697114843195
2024-11-25,0.875,-0.3327534492999684,-0.3327534492999684
2024-11-26,0.75,-0.43134401408127465,-0.43134401408127465
2024-11-28,0.3124992000000475,-0.7764116217954236,-0.7764116217954236
2024-11-29,0.5,-0.628525143643887,-0.628525143643887
2024-12-02,3.75,1.9348295406700744,1.9348295406700744
2024-12-03,0.625,-0.5299345788625809,-0.5299345788625809
2024-12-04,0.8125,-0.38204873169062153,-0.38204873169062153
2024-12-05,2.9375,1.293990869591584,1.293990869591584
2024-12-10,1.0,-0.2341628845186622,-0.2341628845186622
2024-12-13,0.875,-0.3327534492999684,-0.3327534492999684
2024-12-16,0.875,-0.3327534492999684,-0.3327534492999684
2024-12-17,1.9375,0.5052663513411344,0.5052663513411344
2024-12-18,0.75,-0.43134401408127465,-0.43134401408127465
2024-12-23,0.4375,-0.6778204260345402,-0.6778204260345402
2024-12-26,0.4375,-0.6778204260345402,-0.6778204260345402
2024-12-27,0.5625,-0.579229861253234,-0.579229861253234
2024-12-30,0.75,-0.43134401408127465,-0.43134401408127465
2024-12-31,0.5,-0.628525143643887,-0.628525143643887
2025-01-02,1.5,0.16019937460656264,0.16019937460656264
2025-01-03,0.625,-0.5299345788625809,-0.5299345788625809
2025-01-06,1.375,0.06160880982525644,0.06160880982525644
2025-01-07,0.68896484375,-0.4794839382908968,-0.4794839382908968
2025-01-08,1.125,-0.13557231973735598,-0.13557231973735598
2025-01-09,0.875,-0.3327534492999684,-0.3327534492999684
2025-01-16,0.75,-0.43134401408127465,-0.43134401408127465
2025-01-17,0.6875,-0.4806392964719277,-0.4806392964719277
2025-01-20,0.625,-0.5299345788625809,-0.5299345788625809
2025-01-21,1.4375,0.11090409221590955,0.11090409221590955
2025-01-22,0.625,-0.5299345788625809,-0.5299345788625809
2025-01-23,0.5625,-0.579229861253234,-0.579229861253234
2025-01-27,2.625,1.0475144576383186,1.0475144576383186
2025-01-28,0.5625,-0.579229861253234,-0.579229861253234
2025-01-29,0.4375,-0.6778204260345402,-0.6778204260345402
2025-02-03,1.375,0.06160880982525644,0.06160880982525644
2025-02-04,0.9375,-0.2834581669093153,-0.2834581669093153
2025-02-05,0.9375,-0.2834581669093153,-0.2834581669093153
2025-02-06,0.6875,-0.4806392964719277,-0.4806392964719277
2025-02-11,0.375,-0.7271157084251932,-0.7271157084251932
2025-02-14,0.6875,-0.4806392964719277,-0.4806392964719277
2025-02-17,0.625,-0.5299345788625809,-0.5299345788625809
2025-02-18,0.3125,-0.7764109908158464,-0.7764109908158464
2025-02-19,0.3125,-0.7764109908158464,-0.7764109908158464
2025-02-20,0.3125,-0.7764109908158464,-0.7764109908158464
2025-02-24,0.4375,-0.6778204260345402,-0.6778204260345402
