Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.45498727824545576,-0.45498727824545576
2022-12-21,2.0,-0.3261751474784839,-0.3261751474784839
2022-12-27,2.5,-0.06855088594454031,-0.06855088594454031
2022-12-28,2.0,-0.3261751474784839,-0.3261751474784839
2022-12-29,2.75,0.06026124482243151,0.06026124482243151
2022-12-30,2.5,-0.06855088594454031,-0.06855088594454031
2023-01-03,5.75,1.6060068140260932,1.6060068140260932
2023-01-04,4.0,0.7043218986572906,0.7043218986572906
2023-01-05,2.5,-0.06855088594454031,-0.06855088594454031
2023-01-10,2.5,-0.06855088594454031,-0.06855088594454031
2023-01-11,3.75,0.5755097678903188,0.5755097678903188
2023-01-17,2.0,-0.3261751474784839,-0.3261751474784839
2023-01-19,2.25,-0.19736301671151213,-0.19736301671151213
2023-01-20,1.75,-0.45498727824545576,-0.45498727824545576
2023-01-23,1.5,-0.5837994090124276,-0.5837994090124276
2023-01-24,1.75,-0.45498727824545576,-0.45498727824545576
2023-01-25,2.75,0.06026124482243151,0.06026124482243151
2023-01-30,2.25,-0.19736301671151213,-0.19736301671151213
2023-01-31,5.0,1.219570421725178,1.219570421725178
2023-02-01,4.5,0.9619461601912342,0.9619461601912342
2023-02-02,2.75,0.06026124482243151,0.06026124482243151
2023-02-06,3.5,0.446697637123347,0.446697637123347
2023-02-07,2.0,-0.3261751474784839,-0.3261751474784839
2023-02-08,4.0,0.7043218986572906,0.7043218986572906
2023-02-09,3.25,0.31788550635637514,0.31788550635637514
2023-02-15,2.5,-0.06855088594454031,-0.06855088594454031
2023-02-17,1.5,-0.5837994090124276,-0.5837994090124276
2023-02-21,2.0,-0.3261751474784839,-0.3261751474784839
2023-02-22,2.25,-0.19736301671151213,-0.19736301671151213
2023-02-27,9.25,3.409376644763699,3.409376644763699
2023-02-28,10.75,4.1822494293655295,4.1822494293655295
2023-03-01,9.25,3.409376644763699,3.409376644763699
2023-03-02,8.5,3.0229402524627833,3.0229402524627833
2023-03-03,7.75,2.6365038601618678,2.6365038601618678
2023-03-06,9.25,3.409376644763699,3.409376644763699
2023-03-07,2.0,-0.3261751474784839,-0.3261751474784839
2023-03-08,2.75,0.06026124482243151,0.06026124482243151
2023-03-09,4.5,0.9619461601912342,0.9619461601912342
2023-03-16,5.0,1.219570421725178,1.219570421725178
2023-03-20,4.75,1.090758290958206,1.090758290958206
2023-03-21,2.75,0.06026124482243151,0.06026124482243151
2023-03-22,11.0,4.311061560132502,4.311061560132502
2023-03-23,8.0,2.7653159909288396,2.7653159909288396
2023-03-24,2.5,-0.06855088594454031,-0.06855088594454031
