Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZB)"
count,117.0
mean,9.089846880008007
std,5.410530351532293
min,1.5
10%,5.5
25%,6.5
50%,8.5
75%,10.0
95%,14.699999999999989
99%,28.60000000000001
max,50.5
skewness,4.648819867418882
kurtosis,30.976163029785187
