Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,7.75,-0.10182647968538568,-0.10182647968538568
2024-10-01,10.75,0.4852389707542331,0.4852389707542331
2024-10-02,9.0,0.14278412466445548,0.14278412466445548
2024-10-03,8.25,-0.003982237945449217,-0.003982237945449217
2024-10-06,3.25,-0.9824246553448138,-0.9824246553448138
2024-10-07,7.25,-0.19967072142532213,-0.19967072142532213
2024-10-08,6.75,-0.2975149631652586,-0.2975149631652586
2024-10-09,8.0,-0.05290435881541745,-0.05290435881541745
2024-10-13,1.5,-1.3248795014345915,-1.3248795014345915
2024-10-14,6.75,-0.2975149631652586,-0.2975149631652586
2024-10-16,4.5,-0.7378140509949727,-0.7378140509949727
2024-10-17,7.5,-0.1507486005553539,-0.1507486005553539
2024-10-18,5.5,-0.5421255675150998,-0.5421255675150998
2024-10-20,2.0,-1.227035259694655,-1.227035259694655
2024-10-21,14.0,1.12122654206382,1.12122654206382
2024-10-22,7.0,-0.24859284229529038,-0.24859284229529038
2024-10-23,4.75,-0.6888919301250045,-0.6888919301250045
2024-10-24,5.0,-0.6399698092550362,-0.6399698092550362
2024-10-27,6.0,-0.4442813257751633,-0.4442813257751633
2024-10-28,7.5,-0.1507486005553539,-0.1507486005553539
2024-10-29,10.75,0.4852389707542331,0.4852389707542331
2024-11-03,3.75,-0.8845804136048774,-0.8845804136048774
2024-11-04,7.25,-0.19967072142532213,-0.19967072142532213
2024-11-05,23.25,2.9313450142526447,2.9313450142526447
2024-11-06,10.75,0.4852389707542331,0.4852389707542331
2024-11-07,15.5,1.4147592672836296,1.4147592672836296
2024-11-10,3.75,-0.8845804136048774,-0.8845804136048774
2024-11-11,6.25,-0.39535920490519505,-0.39535920490519505
2024-11-15,12.75,0.8766159377139789,0.8766159377139789
2024-11-17,2.5,-1.1291910179547187,-1.1291910179547187
2024-11-18,9.25,0.19170624553442372,0.19170624553442372
2024-11-19,8.0,-0.05290435881541745,-0.05290435881541745
2024-11-20,5.25,-0.591047688385068,-0.591047688385068
2024-11-21,7.0,-0.24859284229529038,-0.24859284229529038
2024-11-24,3.75,-0.8845804136048774,-0.8845804136048774
2024-11-25,11.5,0.6320053333641378,0.6320053333641378
2024-11-26,5.5,-0.5421255675150998,-0.5421255675150998
2024-11-28,5.75,-0.49320344664513155,-0.49320344664513155
2024-11-29,5.75,-0.49320344664513155,-0.49320344664513155
2024-12-01,4.5,-0.7378140509949727,-0.7378140509949727
2024-12-02,9.5,0.24062836640439195,0.24062836640439195
2024-12-03,10.0,0.3384726081443284,0.3384726081443284
2024-12-04,9.5,0.24062836640439195,0.24062836640439195
2024-12-05,8.25,-0.003982237945449217,-0.003982237945449217
2024-12-08,4.0,-0.8356582927349092,-0.8356582927349092
2024-12-10,9.5,0.24062836640439195,0.24062836640439195
2024-12-13,10.0,0.3384726081443284,0.3384726081443284
2024-12-15,1.75,-1.2759573805646232,-1.2759573805646232
2024-12-16,5.25,-0.591047688385068,-0.591047688385068
2024-12-17,7.25,-0.19967072142532213,-0.19967072142532213
2024-12-18,18.0,1.9039804759833119,1.9039804759833119
2024-12-22,1.75,-1.2759573805646232,-1.2759573805646232
2024-12-23,8.75,0.09386200379448725,0.09386200379448725
2024-12-24,4.5,-0.7378140509949727,-0.7378140509949727
2024-12-25,3.25,-0.9824246553448138,-0.9824246553448138
2024-12-26,8.0,-0.05290435881541745,-0.05290435881541745
2024-12-27,5.75,-0.49320344664513155,-0.49320344664513155
2024-12-29,1.5,-1.3248795014345915,-1.3248795014345915
2024-12-30,11.0,0.5341610916242013,0.5341610916242013
2024-12-31,7.75,-0.10182647968538568,-0.10182647968538568
2025-01-01,3.25,-0.9824246553448138,-0.9824246553448138
2025-01-02,8.5,0.04493988292451902,0.04493988292451902
2025-01-03,7.25,-0.19967072142532213,-0.19967072142532213
2025-01-05,3.5,-0.9335025344748457,-0.9335025344748457
2025-01-06,7.5,-0.1507486005553539,-0.1507486005553539
2025-01-07,9.0,0.14278412466445548,0.14278412466445548
2025-01-08,7.25,-0.19967072142532213,-0.19967072142532213
2025-01-09,4.75,-0.6888919301250045,-0.6888919301250045
2025-01-12,4.25,-0.7867361718649409,-0.7867361718649409
2025-01-16,12.0,0.7298495751040742,0.7298495751040742
2025-01-17,7.25,-0.19967072142532213,-0.19967072142532213
2025-01-19,2.25,-1.1781131388246868,-1.1781131388246868
2025-01-20,13.75,1.072304421193852,1.072304421193852
2025-01-21,7.5,-0.1507486005553539,-0.1507486005553539
2025-01-22,7.0,-0.24859284229529038,-0.24859284229529038
