Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)"
count,105.0
mean,5.080952380952381
std,3.2091544308699387
min,1.5
10%,2.5
25%,3.5
50%,4.0
75%,5.5
95%,9.899999999999999
99%,18.459999999999994
max,20.0
skewness,2.5936085390664716
kurtosis,8.143622367970895
