Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)"
count,153.0
mean,3.6323529411764706
std,2.657081344134922
min,0.0
10%,1.75
25%,2.25
50%,3.0
75%,4.0
95%,9.100000000000001
99%,12.669999999999959
max,22.5
skewness,3.387463525137959
kurtosis,18.047489241852983
