Volatility of Returns Statistic,"(Session:All day, Interval:15m, Symbol:ZN)"
count,192.0
mean,7.876323064168293
std,5.047221849862958
min,0.0
10%,2.7750000000000004
25%,5.0
50%,7.25
75%,10.25
95%,16.44999999999999
99%,24.31000000000003
max,38.25
skewness,2.178838464785948
kurtosis,9.27912549318256
