Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.09426636400757142,-0.09426636400757142
2024-11-04,3.75,-0.09426636400757142,-0.09426636400757142
2024-11-05,10.75,3.0030845109789004,3.0030845109789004
2024-11-06,2.75,-0.5367450604342102,-0.5367450604342102
2024-11-07,4.0,0.016353310099088275,0.016353310099088275
2024-11-10,3.0,-0.42612538632755054,-0.42612538632755054
2024-11-11,3.0,-0.42612538632755054,-0.42612538632755054
2024-11-15,2.25,-0.7579844086475296,-0.7579844086475296
2024-11-17,2.0,-0.8686040827541893,-0.8686040827541893
2024-11-18,1.5,-1.0898434309675087,-1.0898434309675087
2024-11-19,3.0,-0.42612538632755054,-0.42612538632755054
2024-11-20,2.0,-0.8686040827541893,-0.8686040827541893
2024-11-21,1.75,-0.9792237568608491,-0.9792237568608491
2024-11-24,3.75,-0.09426636400757142,-0.09426636400757142
2024-11-25,3.5,-0.20488603811423112,-0.20488603811423112
2024-11-26,1.75,-0.9792237568608491,-0.9792237568608491
2024-12-01,5.0,0.4588320065257271,0.4588320065257271
2024-12-02,4.5,0.23759265831240767,0.23759265831240767
2024-12-03,3.75,-0.09426636400757142,-0.09426636400757142
2024-12-04,3.0,-0.42612538632755054,-0.42612538632755054
2024-12-05,3.75,-0.09426636400757142,-0.09426636400757142
2024-12-08,3.75,-0.09426636400757142,-0.09426636400757142
2024-12-10,2.75,-0.5367450604342102,-0.5367450604342102
2024-12-13,1.5,-1.0898434309675087,-1.0898434309675087
2024-12-15,1.75,-0.9792237568608491,-0.9792237568608491
2024-12-16,1.5,-1.0898434309675087,-1.0898434309675087
2024-12-17,2.25,-0.7579844086475296,-0.7579844086475296
2024-12-18,4.75,0.34821233241906735,0.34821233241906735
2024-12-22,1.75,-0.9792237568608491,-0.9792237568608491
2024-12-23,1.75,-0.9792237568608491,-0.9792237568608491
2024-12-25,1.25,-1.2004631050741683,-1.2004631050741683
2024-12-26,1.5,-1.0898434309675087,-1.0898434309675087
2024-12-27,1.5,-1.0898434309675087,-1.0898434309675087
2024-12-29,1.5,-1.0898434309675087,-1.0898434309675087
2024-12-30,2.0,-0.8686040827541893,-0.8686040827541893
2024-12-31,1.25,-1.2004631050741683,-1.2004631050741683
2025-01-01,3.0,-0.42612538632755054,-0.42612538632755054
2025-01-02,2.0,-0.8686040827541893,-0.8686040827541893
2025-01-03,0.5,-1.5323221273941474,-1.5323221273941474
2025-01-05,2.0,-0.8686040827541893,-0.8686040827541893
2025-01-06,3.5,-0.20488603811423112,-0.20488603811423112
2025-01-07,2.25,-0.7579844086475296,-0.7579844086475296
2025-01-08,3.25,-0.3155057122208908,-0.3155057122208908
2025-01-09,0.75,-1.4217024532874878,-1.4217024532874878
2025-01-12,2.75,-0.5367450604342102,-0.5367450604342102
2025-01-16,2.25,-0.7579844086475296,-0.7579844086475296
2025-01-17,3.0040283203122726,-0.42434294040698717,-0.42434294040698717
2025-01-19,1.25,-1.2004631050741683,-1.2004631050741683
2025-01-20,5.0,0.4588320065257271,0.4588320065257271
2025-01-21,3.75,-0.09426636400757142,-0.09426636400757142
2025-01-22,2.5,-0.64736473454087,-0.64736473454087
2025-01-23,1.25,-1.2004631050741683,-1.2004631050741683
2025-01-26,2.75,-0.5367450604342102,-0.5367450604342102
2025-01-27,4.0,0.016353310099088275,0.016353310099088275
2025-01-28,2.5,-0.64736473454087,-0.64736473454087
2025-01-29,3.0,-0.42612538632755054,-0.42612538632755054
2025-02-02,6.0,0.9013107029523658,0.9013107029523658
2025-02-03,6.25,1.0119303770590256,1.0119303770590256
2025-02-04,2.75,-0.5367450604342102,-0.5367450604342102
2025-02-05,3.5,-0.20488603811423112,-0.20488603811423112
2025-02-06,4.25,0.12697298420574799,0.12697298420574799
2025-02-09,2.75,-0.5367450604342102,-0.5367450604342102
2025-02-11,2.5,-0.64736473454087,-0.64736473454087
2025-02-14,3.25,-0.3155057122208908,-0.3155057122208908
2025-02-17,1.0,-1.3110827791808282,-1.3110827791808282
2025-02-18,3.75,-0.09426636400757142,-0.09426636400757142
2025-02-19,3.0,-0.42612538632755054,-0.42612538632755054
2025-02-20,1.25,-1.2004631050741683,-1.2004631050741683
2025-02-24,3.5,-0.20488603811423112,-0.20488603811423112
2025-02-25,4.0,0.016353310099088275,0.016353310099088275
2025-02-26,8.75,2.118127118125623,2.118127118125623
2025-03-03,5.0,0.4588320065257271,0.4588320065257271
2025-03-04,12.0,3.556182881512199,3.556182881512199
2025-03-05,5.0,0.4588320065257271,0.4588320065257271
2025-03-06,7.5,1.5650287475923241,1.5650287475923241
2025-03-11,10.5,2.8924648368722408,2.8924648368722408
2025-03-17,6.5,1.1225500511656852,1.1225500511656852
2025-03-18,5.5,0.6800713547390465,0.6800713547390465
2025-03-19,8.75,2.118127118125623,2.118127118125623
2025-03-20,5.5,0.6800713547390465,0.6800713547390465
2025-03-21,5.0,0.4588320065257271,0.4588320065257271
2025-03-24,2.75,-0.5367450604342102,-0.5367450604342102
2025-03-25,3.5,-0.20488603811423112,-0.20488603811423112
2025-03-26,3.5,-0.20488603811423112,-0.20488603811423112
2025-03-31,5.75,0.7906910288457062,0.7906910288457062
2025-04-01,3.25,-0.3155057122208908,-0.3155057122208908
2025-04-02,10.0,2.671225488658921,2.671225488658921
2025-04-03,5.25,0.5694516806323868,0.5694516806323868
2025-04-07,9.75,2.5606058145522614,2.5606058145522614
2025-04-08,12.0,3.556182881512199,3.556182881512199
2025-04-09,10.75,3.0030845109789004,3.0030845109789004
2025-04-15,7.5,1.5650287475923241,1.5650287475923241
2025-04-16,8.75,2.118127118125623,2.118127118125623
2025-04-17,5.75,0.7906910288457062,0.7906910288457062
2025-04-21,7.75,1.6756484216989838,1.6756484216989838
2025-04-22,3.25,-0.3155057122208908,-0.3155057122208908
2025-04-23,7.25,1.4544090734856643,1.4544090734856643
2025-04-24,4.0,0.016353310099088275,0.016353310099088275
2025-04-28,6.75,1.233169725272345,1.233169725272345
2025-04-29,3.5,-0.20488603811423112,-0.20488603811423112
2025-05-01,6.25,1.0119303770590256,1.0119303770590256
