Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)"
count,114.0
mean,11.201754385964913
std,5.672757167907202
min,2.0
10%,5.65
25%,7.0
50%,10.0
75%,14.5
95%,21.849999999999994
99%,28.870000000000005
max,35.5
skewness,1.4453860671775243
kurtosis,3.054389636421855
