Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.9517254101049315,-0.9517254101049315
2024-10-14,1.625,-0.3896727360962616,-0.3896727360962616
2024-10-16,1.0625007999999525,-0.6706986734187187,-0.6706986734187187
2024-10-17,2.3125007999999525,-0.04619570229797436,-0.04619570229797436
2024-10-18,1.3124992000000475,-0.5457988785583254,-0.5457988785583254
2024-10-20,0.375,-1.014175707217006,-1.014175707217006
2024-10-21,3.125,0.3597308292486317,0.3597308292486317
2024-10-22,1.5624992000000475,-0.42089828433417653,-0.42089828433417653
2024-10-23,1.3125007999999525,-0.5457980791945699,-0.5457980791945699
2024-10-24,1.4375007999999525,-0.4833477820824954,-0.4833477820824954
2024-10-27,1.0,-0.7019242216566337,-0.7019242216566337
2024-10-28,1.875,-0.2647721418721127,-0.2647721418721127
2024-10-29,2.5,0.04747934368825951,0.04747934368825951
2024-11-03,1.1874992000000475,-0.6082491756703998,-0.6082491756703998
2024-11-04,1.8124992000000475,-0.2959976901100277,-0.2959976901100277
2024-11-05,4.6874992000000475,1.1403591434676843,1.1403591434676843
2024-11-06,2.25,-0.07742125053588937,-0.07742125053588937
2024-11-07,2.375,-0.014970953423814928,-0.014970953423814928
2024-11-10,0.75,-0.8268248158807826,-0.8268248158807826
2024-11-11,1.375,-0.5145733303204104,-0.5145733303204104
2024-11-15,3.125,0.3597308292486317,0.3597308292486317
2024-11-17,0.8124992000000475,-0.7956000670066232,-0.7956000670066232
2024-11-18,1.6874992000000475,-0.35844798722210214,-0.35844798722210214
2024-11-19,2.3125007999999525,-0.04619570229797436,-0.04619570229797436
2024-11-20,1.25,-0.5770236274324848,-0.5770236274324848
2024-11-21,2.0,-0.20232184476003823,-0.20232184476003823
2024-11-24,0.875,-0.7643745187687082,-0.7643745187687082
2024-11-25,2.6874992000000475,0.14115438967449337,0.14115438967449337
2024-11-26,1.75,-0.3272224389841871,-0.3272224389841871
2024-11-28,0.875,-0.7643745187687082,-0.7643745187687082
2024-11-29,4.6875,1.1403595431495621,1.1403595431495621
2024-12-01,3.875,0.7344326119210783,0.7344326119210783
2024-12-02,4.75,1.1715846917055994,1.1715846917055994
2024-12-03,1.5625,-0.42089788465229877,-0.42089788465229877
2024-12-04,2.75,0.17237993791240838,0.17237993791240838
2024-12-05,3.375,0.48463142347278054,0.48463142347278054
2024-12-10,2.1875,-0.10864639909192658,-0.10864639909192658
2024-12-13,2.125,-0.1398715476479638,-0.1398715476479638
2024-12-15,0.4375,-0.9829505586609687,-0.9829505586609687
2024-12-16,1.4375,-0.4833481817643732,-0.4833481817643732
2024-12-17,2.0,-0.20232184476003823,-0.20232184476003823
2024-12-18,5.3125,1.4526110287099343,1.4526110287099343
2024-12-22,0.4375,-0.9829505586609687,-0.9829505586609687
2024-12-23,1.1875,-0.6082487759885221,-0.6082487759885221
2024-12-24,1.0,-0.7019242216566337,-0.7019242216566337
2024-12-25,0.75,-0.8268248158807826,-0.8268248158807826
2024-12-26,1.375,-0.5145733303204104,-0.5145733303204104
2024-12-27,1.1875,-0.6082487759885221,-0.6082487759885221
2024-12-29,0.375,-1.014175707217006,-1.014175707217006
2024-12-30,2.625,0.10992964080033395,0.10992964080033395
2024-12-31,1.5,-0.45212303320833597,-0.45212303320833597
2025-01-01,0.8125,-0.7955996673247454,-0.7955996673247454
2025-01-02,2.0,-0.20232184476003823,-0.20232184476003823
2025-01-03,1.75,-0.3272224389841871,-0.3272224389841871
2025-01-05,0.5625,-0.9205002615488943,-0.9205002615488943
2025-01-06,1.5,-0.45212303320833597,-0.45212303320833597
2025-01-07,1.75,-0.3272224389841871,-0.3272224389841871
2025-01-08,1.6875,-0.3584475875402243,-0.3584475875402243
2025-01-09,1.125,-0.6394739245445593,-0.6394739245445593
2025-01-12,1.0,-0.7019242216566337,-0.7019242216566337
2025-01-16,2.8125,0.2036050864684456,0.2036050864684456
2025-01-17,2.0625,-0.17109669620400103,-0.17109669620400103
2025-01-19,0.6875,-0.8580499644368198,-0.8580499644368198
2025-01-20,2.375,-0.014970953423814928,-0.014970953423814928
2025-01-21,1.9375,-0.23354699331607545,-0.23354699331607545
2025-01-22,1.375,-0.5145733303204104,-0.5145733303204104
2025-01-23,1.6875,-0.3584475875402243,-0.3584475875402243
2025-01-26,0.6875,-0.8580499644368198,-0.8580499644368198
2025-01-27,2.625,0.10992964080033395,0.10992964080033395
2025-01-28,1.4375,-0.4833481817643732,-0.4833481817643732
2025-01-29,2.3125,-0.04619610197985215,-0.04619610197985215
2025-02-02,1.5625,-0.42089788465229877,-0.42089788465229877
2025-02-03,1.75,-0.3272224389841871,-0.3272224389841871
2025-02-04,1.9375,-0.23354699331607545,-0.23354699331607545
2025-02-05,1.6875,-0.3584475875402243,-0.3584475875402243
2025-02-06,0.875,-0.7643745187687082,-0.7643745187687082
2025-02-09,0.5625,-0.9205002615488943,-0.9205002615488943
2025-02-11,0.9375,-0.7331493702126709,-0.7331493702126709
2025-02-14,2.125,-0.1398715476479638,-0.1398715476479638
2025-02-16,0.4375,-0.9829505586609687,-0.9829505586609687
2025-02-17,0.625,-0.889275112992857,-0.889275112992857
2025-02-18,1.1875,-0.6082487759885221,-0.6082487759885221
2025-02-19,1.625,-0.3896727360962616,-0.3896727360962616
2025-02-20,0.875,-0.7643745187687082,-0.7643745187687082
2025-02-23,0.5,-0.9517254101049315,-0.9517254101049315
2025-02-24,2.25,-0.07742125053588937,-0.07742125053588937
2025-02-25,2.4375,0.01625419513222229,0.01625419513222229
2025-02-26,5.9375,1.7648625142703065,1.7648625142703065
2025-03-02,4.8125,1.2028098402616365,1.2028098402616365
2025-03-03,8.5,3.0450936050678328,3.0450936050678328
2025-03-04,8.625,3.107543902179907,3.107543902179907
2025-03-05,8.3125,2.951418159399721,2.951418159399721
2025-03-06,7.5,2.545491228171237,2.545491228171237
2025-03-09,1.25,-0.5770236274324848,-0.5770236274324848
2025-03-11,5.3125,1.4526110287099343,1.4526110287099343
2025-03-16,2.6875,0.14115478935637116,0.14115478935637116
2025-03-17,3.125,0.3597308292486317,0.3597308292486317
2025-03-18,2.625,0.10992964080033395,0.10992964080033395
2025-03-19,4.9375,1.2652601373737111,1.2652601373737111
2025-03-20,2.3125,-0.04619610197985215,-0.04619610197985215
2025-03-21,2.0625,-0.17109669620400103,-0.17109669620400103
2025-03-23,0.8125,-0.7955996673247454,-0.7955996673247454
2025-03-24,2.25,-0.07742125053588937,-0.07742125053588937
2025-03-25,1.875,-0.2647721418721127,-0.2647721418721127
2025-03-26,1.0,-0.7019242216566337,-0.7019242216566337
2025-03-30,1.625,-0.3896727360962616,-0.3896727360962616
2025-03-31,4.0,0.7968829090331527,0.7968829090331527
2025-04-01,2.0625,-0.17109669620400103,-0.17109669620400103
2025-04-02,5.9375,1.7648625142703065,1.7648625142703065
2025-04-03,6.5625,2.077113999830679,2.077113999830679
2025-04-06,7.8125,2.7016169709514233,2.7016169709514233
2025-04-07,11.25,4.419000141533471,4.419000141533471
2025-04-08,6.75,2.1707894454987904,2.1707894454987904
2025-04-09,9.25,3.419795387740279,3.419795387740279
2025-04-13,2.8125,0.2036050864684456,0.2036050864684456
2025-04-15,2.375,-0.014970953423814928,-0.014970953423814928
2025-04-16,2.0625,-0.17109669620400103,-0.17109669620400103
2025-04-17,1.875,-0.2647721418721127,-0.2647721418721127
2025-04-20,1.625,-0.3896727360962616,-0.3896727360962616
2025-04-21,2.5,0.04747934368825951,0.04747934368825951
2025-04-22,3.5,0.547081720584855,0.547081720584855
2025-04-23,2.375,-0.014970953423814928,-0.014970953423814928
2025-04-24,1.875,-0.2647721418721127,-0.2647721418721127
2025-04-27,0.625,-0.889275112992857,-0.889275112992857
2025-04-28,3.25,0.42218112636070615,0.42218112636070615
2025-04-29,2.25,-0.07742125053588937,-0.07742125053588937
2025-05-01,5.4375,1.5150613258220087,1.5150613258220087
2025-05-04,0.8125,-0.7955996673247454,-0.7955996673247454
2025-05-05,2.0625,-0.17109669620400103,-0.17109669620400103
2025-05-06,2.1875,-0.10864639909192658,-0.10864639909192658
2025-05-07,2.125,-0.1398715476479638,-0.1398715476479638
2025-05-09,1.8125,-0.2959972904281499,-0.2959972904281499
2025-05-11,0.75,-0.8268248158807826,-0.8268248158807826
2025-05-14,2.375,-0.014970953423814928,-0.014970953423814928
2025-05-18,1.625,-0.3896727360962616,-0.3896727360962616
2025-05-19,2.125,-0.1398715476479638,-0.1398715476479638
2025-05-20,1.25,-0.5770236274324848,-0.5770236274324848
2025-05-21,1.4375,-0.4833481817643732,-0.4833481817643732
2025-05-22,1.125,-0.6394739245445593,-0.6394739245445593
2025-05-23,2.8125,0.2036050864684456,0.2036050864684456
2025-05-25,1.0625,-0.6706990731005965,-0.6706990731005965
2025-05-26,1.125,-0.6394739245445593,-0.6394739245445593
2025-05-27,1.0,-0.7019242216566337,-0.7019242216566337
2025-05-28,7.4375,2.5142660796152,2.5142660796152
2025-06-01,0.6875,-0.8580499644368198,-0.8580499644368198
2025-06-02,5.25,1.4213858801538972,1.4213858801538972
