Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1h, Symbol:ZN)"
count,439.0
mean,4.550163946825172
std,2.471686026618942
min,1.5
10%,2.5
25%,3.25
50%,4.0
75%,5.25
95%,9.25
99%,15.025000000000006
max,21.75
skewness,3.002766620774624
kurtosis,13.275678521109077
