"(Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3391.0
mean,36.65319964612208
std,33.315680411679544
min,0.0
5%,3.0000000000001137
25%,12.999999999999545
50%,28.000000000000114
68%,43.00000000000068
90%,77.00000000000102
95%,100.49999999999955
99%,154.39999999999904
99.7%,206.14999999999876
max,294.99999999999886
