Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.1946995969794474,-0.1946995969794474
2022-12-21,11.0,0.49177565300185994,0.49177565300185994
2022-12-27,12.75,0.8350132779925137,0.8350132779925137
2022-12-28,9.0,0.09950408158397005,0.09950408158397005
2022-12-29,6.5,-0.39083538268839235,-0.39083538268839235
2022-12-30,9.25,0.14853802801120627,0.14853802801120627
2023-01-03,9.25,0.14853802801120627,0.14853802801120627
2023-01-04,7.0,-0.29276748983391987,-0.29276748983391987
2023-01-05,10.25,0.3446738137201512,0.3446738137201512
2023-01-08,2.75,-1.126344579096936,-1.126344579096936
2023-01-10,11.5,0.5898435458563325,0.5898435458563325
2023-01-11,8.5,0.001436188729497562,0.001436188729497562
2023-01-15,3.0,-1.0773106326696997,-1.0773106326696997
2023-01-17,13.25,0.9330811708469862,0.9330811708469862
2023-01-19,13.5,0.9821151172742223,0.9821151172742223
2023-01-20,11.0,0.49177565300185994,0.49177565300185994
2023-01-22,3.0,-1.0773106326696997,-1.0773106326696997
2023-01-23,10.0,0.29563986729291497,0.29563986729291497
2023-01-24,11.25,0.5408095994290962,0.5408095994290962
2023-01-25,7.75,-0.14566565055221115,-0.14566565055221115
2023-01-29,3.75,-0.930208793387991,-0.930208793387991
2023-01-30,9.75,0.24660592086567876,0.24660592086567876
2023-01-31,7.75,-0.14566565055221115,-0.14566565055221115
2023-02-01,16.5,1.5705224744010573,1.5705224744010573
2023-02-02,11.0,0.49177565300185994,0.49177565300185994
2023-02-05,4.25,-0.8321409005335185,-0.8321409005335185
2023-02-06,16.0,1.4724545815465848,1.4724545815465848
2023-02-07,11.25,0.5408095994290962,0.5408095994290962
2023-02-08,6.5,-0.39083538268839235,-0.39083538268839235
2023-02-09,13.0,0.8840472244197499,0.8840472244197499
2023-02-12,2.75,-1.126344579096936,-1.126344579096936
2023-02-15,10.25,0.3446738137201512,0.3446738137201512
2023-02-17,13.0,0.8840472244197499,0.8840472244197499
2023-02-19,3.25,-1.0282766862424635,-1.0282766862424635
2023-02-21,14.25,1.1292169565559311,1.1292169565559311
2023-02-22,7.5,-0.1946995969794474,-0.1946995969794474
2023-02-26,3.0,-1.0773106326696997,-1.0773106326696997
2023-02-27,17.25,1.717624313682766,1.717624313682766
2023-02-28,15.75,1.4234206351193486,1.4234206351193486
2023-03-01,20.75,2.404099563664073,2.404099563664073
2023-03-02,15.5,1.3743866886921123,1.3743866886921123
2023-03-03,15.5,1.3743866886921123,1.3743866886921123
2023-03-05,10.5,0.39370776014738745,0.39370776014738745
2023-03-06,15.75,1.4234206351193486,1.4234206351193486
2023-03-07,12.25,0.7369453851380412,0.7369453851380412
2023-03-08,12.25,0.7369453851380412,0.7369453851380412
2023-03-09,27.25,3.6789821707722155,3.6789821707722155
2023-03-12,21.5,2.551201402945782,2.551201402945782
2023-03-16,31.75,4.561593206462468,4.561593206462468
2023-03-19,13.75,1.0311490637014586,1.0311490637014586
2023-03-20,31.25,4.463525313607995,4.463525313607995
2023-03-21,22.25,2.6983032422274906,2.6983032422274906
2023-03-22,28.75,3.973185849335633,3.973185849335633
2023-03-23,19.5,2.158929831527892,2.158929831527892
2023-03-24,18.0,1.8647261529644747,1.8647261529644747
2023-03-26,5.0,-0.6850390612518098,-0.6850390612518098
2023-03-27,20.5,2.355065617236837,2.355065617236837
2023-03-28,11.25,0.5408095994290962,0.5408095994290962
2023-03-29,10.5,0.39370776014738745,0.39370776014738745
2023-04-02,6.5,-0.39083538268839235,-0.39083538268839235
2023-04-03,17.75,1.8156922065372385,1.8156922065372385
2023-04-04,19.25,2.1098958851006557,2.1098958851006557
2023-04-05,14.75,1.2272848494104036,1.2272848494104036
2023-04-06,9.0,0.09950408158397005,0.09950408158397005
2023-04-09,2.25,-1.2244124719514085,-1.2244124719514085
2023-04-11,9.0,0.09950408158397005,0.09950408158397005
2023-04-16,2.5,-1.1753785255241722,-1.1753785255241722
2023-04-17,11.5,0.5898435458563325,0.5898435458563325
2023-04-18,6.75,-0.3418014362611561,-0.3418014362611561
2023-04-19,8.0,-0.09663170412497492,-0.09663170412497492
2023-04-20,9.0,0.09950408158397005,0.09950408158397005
2023-04-21,9.25,0.14853802801120627,0.14853802801120627
2023-04-23,1.75,-1.322480364805881,-1.322480364805881
2023-04-24,11.25,0.5408095994290962,0.5408095994290962
2023-04-25,12.5,0.7859793315652774,0.7859793315652774
2023-04-26,10.25,0.3446738137201512,0.3446738137201512
2023-04-30,3.5,-0.9792427398152272,-0.9792427398152272
2023-05-01,15.25,1.325352742264876,1.325352742264876
2023-05-02,19.5,2.158929831527892,2.158929831527892
2023-05-03,20.0,2.2569977243823645,2.2569977243823645
2023-05-04,16.5,1.5705224744010573,1.5705224744010573
2023-05-07,3.5,-0.9792427398152272,-0.9792427398152272
2023-05-09,6.5,-0.39083538268839235,-0.39083538268839235
2023-05-14,2.0,-1.2734464183786447,-1.2734464183786447
2023-05-15,5.25,-0.6360051148245736,-0.6360051148245736
2023-05-16,13.75,1.0311490637014586,1.0311490637014586
2023-05-17,9.75,0.24660592086567876,0.24660592086567876
2023-05-18,13.0,0.8840472244197499,0.8840472244197499
2023-05-19,12.25,0.7369453851380412,0.7369453851380412
2023-05-21,3.75,-0.930208793387991,-0.930208793387991
2023-05-22,9.75,0.24660592086567876,0.24660592086567876
2023-05-23,9.75,0.24660592086567876,0.24660592086567876
2023-05-24,11.0,0.49177565300185994,0.49177565300185994
