Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)"
count,122.0
mean,2.3463605036501045
std,1.5452426360512577
min,0.75
10%,1.25
25%,1.5
50%,2.0
75%,2.75
95%,4.237499999999997
99%,9.579999999999984
max,11.5
skewness,3.4345766487894838
kurtosis,15.384459788443582
