Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2000-09-21,5.250122070312273,-0.8639954145943082,-0.8639954145943082
2000-09-22,0.7498779296877274,-1.6424316832726644,-1.6424316832726644
2000-09-25,0.5,-1.6856546812107702,-1.6856546812107702
2000-09-26,1.500732421875,-1.5125515365618847,-1.5125515365618847
2000-09-27,0.748779296875,-1.6426217208796616,-1.6426217208796616
2000-09-28,2.0,-1.4261900018443998,-1.4261900018443998
2000-09-29,1.0,-1.5991664547553135,-1.5991664547553135
2000-10-02,0.499267578125,-1.685781372948742,-1.685781372948742
2000-10-03,2.5,-1.339701775388943,-1.339701775388943
2000-10-04,0.7501220703122726,-1.642389452693419,-1.642389452693419
2000-10-05,0.7496337890625,-1.6424739138520277,-1.6424739138520277
2000-10-06,1.75048828125,-1.4693496539134803,-1.4693496539134803
2000-10-09,1.75048828125,-1.4693496539134803,-1.4693496539134803
2000-10-10,3.0,-1.2532135489334864,-1.2532135489334864
2000-10-11,1.500732421875,-1.5125515365618847,-1.5125515365618847
2000-10-12,12.251220703125,0.3470297933890839,0.3470297933890839
2000-10-13,6.748779296875,-0.6047630034141802,-0.6047630034141802
2000-10-16,4.24951171875,-1.0370774439534922,-1.0370774439534922
2000-10-17,9.748779296875,-0.08583364468143952,-0.08583364468143952
2000-10-18,15.2496337890625,0.8656846533562189,0.8656846533562189
2000-10-19,9.0,-0.2153548314680049,-0.2153548314680049
2000-10-20,5.7503662109375,-0.7774649575594881,-0.7774649575594881
2000-10-23,5.75048828125,-0.7774438422698261,-0.7774438422698261
2000-10-24,8.0,-0.3883312843789185,-0.3883312843789185
2000-10-25,11.2496337890625,0.17377884171256466,0.17377884171256466
2000-10-26,8.499267578125,-0.3019697496614336,-0.3019697496614336
2000-10-27,8.7503662109375,-0.25853559882674737,-0.25853559882674737
2000-10-30,6.7503662109375,-0.6044885046485745,-0.6044885046485745
2000-10-31,8.2496337890625,-0.345150517020176,-0.345150517020176
2000-11-01,3.7503662109375,-1.1234178633813152,-1.1234178633813152
2000-11-02,3.0,-1.2532135489334864,-1.2532135489334864
2000-11-03,12.2496337890625,0.3467552946234782,0.3467552946234782
2000-11-06,7.2496337890625,-0.5181269699310895,-0.5181269699310895
2000-11-07,5.499511718750227,-0.820856877814811,-0.820856877814811
2000-11-08,14.2503662109375,0.6928348921832772,0.6928348921832772
2000-11-09,9.4991455078125,-0.12901441204018196,-0.12901441204018196
2000-11-10,4.7503662109375,-0.9504414104704016,-0.9504414104704016
2000-11-13,4.251220703125,-1.0367818298982245,-1.0367818298982245
2000-11-14,6.500732421875,-0.6476692720073169,-0.6476692720073169
2000-11-15,6.0,-0.7342841902007456,-0.7342841902007456
2000-11-16,4.2496337890625,-1.0370563286638304,-1.0370563286638304
2000-11-17,5.0,-0.9072606431116592,-0.9072606431116592
2000-11-20,4.24951171875,-1.0370774439534922,-1.0370774439534922
2000-11-21,4.0,-1.0802370960225727,-1.0802370960225727
2000-11-22,7.24951171875,-0.5181480852207515,-0.5181480852207515
2000-11-24,2.7503662109375,-1.2963943162922287,-1.2963943162922287
2000-11-27,4.2496337890625,-1.0370563286638304,-1.0370563286638304
2000-11-28,7.0,-0.5613077372898321,-0.5613077372898321
2000-11-29,8.748779296875,-0.25881009759235307,-0.25881009759235307
2000-11-30,9.7503662109375,-0.08555914591583381,-0.08555914591583381
2000-12-01,6.0,-0.7342841902007456,-0.7342841902007456
2000-12-04,8.251220703125,-0.3448760182545703,-0.3448760182545703
2000-12-05,11.251220703125,0.17405334047817037,0.17405334047817037
2000-12-06,12.499267578125,0.3899360619822207,0.3899360619822207
2000-12-07,7.500732421875,-0.47469281909640343,-0.47469281909640343
2000-12-08,7.7503662109375,-0.43151205173766094,-0.43151205173766094
2000-12-11,3.4991455078125,-1.1668731295056634,-1.1668731295056634
2000-12-12,5.2496337890625,-0.8640798757529167,-0.8640798757529167
2000-12-13,11.0,0.1305980743538222,0.1305980743538222
2000-12-14,4.4991455078125,-0.9938966765947498,-0.9938966765947498
2000-12-15,5.748779296875,-0.7777394563250938,-0.7777394563250938
2000-12-18,3.748779296875,-1.1236923621469208,-1.1236923621469208
2000-12-19,1.0,-1.5991664547553135,-1.5991664547553135
2000-12-20,13.0,0.47655098017564934,0.47655098017564934
2000-12-21,10.2496337890625,0.0008023888016511014,0.0008023888016511014
2000-12-22,8.0,-0.3883312843789185,-0.3883312843789185
2000-12-26,6.24951171875,-0.6911245381316651,-0.6911245381316651
2000-12-27,9.2496337890625,-0.17217406410926245,-0.17217406410926245
2000-12-28,7.0,-0.5613077372898321,-0.5613077372898321
2000-12-29,6.24951171875,-0.6911245381316651,-0.6911245381316651
2001-01-02,22.748779296875,2.162860243160437,2.162860243160437
2001-01-03,31.2496337890625,3.6333078999308355,3.6333078999308355
2001-01-04,15.0,0.8225038859974765,0.8225038859974765
2001-01-05,16.5008544921875,1.0821163723914806,1.0821163723914806
2001-01-08,11.7503662109375,0.2603937599059933,0.2603937599059933
2001-01-09,8.0,-0.3883312843789185,-0.3883312843789185
2001-01-10,13.0,0.47655098017564934,0.47655098017564934
2001-01-11,12.0,0.30357452726473577,0.30357452726473577
2001-01-12,16.24951171875,1.0386399909774704,1.0386399909774704
2001-01-16,7.748779296875,-0.43178655050326664,-0.43178655050326664
2001-01-17,18.4991455078125,1.42777366415804,1.42777366415804
2001-01-18,11.75048828125,0.26041487519565526,0.26041487519565526
2001-01-19,10.500732421875,0.04423653963633728,0.04423653963633728
