Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.659085780684763,-0.659085780684763
2024-10-14,2.0,-0.21829324835698274,-0.21829324835698274
2024-10-16,1.375,-0.49378858106184537,-0.49378858106184537
2024-10-17,0.875,-0.7141848472257355,-0.7141848472257355
2024-10-20,1.125,-0.6039867141437905,-0.6039867141437905
2024-10-21,1.625,-0.38359044797990033,-0.38359044797990033
2024-10-22,2.25,-0.10809511527503766,-0.10809511527503766
2024-10-23,2.125,-0.1631941818160102,-0.1631941818160102
2024-10-24,1.375,-0.49378858106184537,-0.49378858106184537
2024-10-27,3.375,0.3877964835937151,0.3877964835937151
2024-10-28,1.375,-0.49378858106184537,-0.49378858106184537
2024-10-29,1.25,-0.5488876476028179,-0.5488876476028179
2024-11-03,2.5,0.002103017806907395,0.002103017806907395
2024-11-04,1.25,-0.5488876476028179,-0.5488876476028179
2024-11-05,13.0,4.6304246072485995,4.6304246072485995
2024-11-06,2.0,-0.21829324835698274,-0.21829324835698274
2024-11-07,1.625,-0.38359044797990033,-0.38359044797990033
2024-11-10,2.0,-0.21829324835698274,-0.21829324835698274
2024-11-11,1.5,-0.43868951452087285,-0.43868951452087285
2024-11-17,1.5,-0.43868951452087285,-0.43868951452087285
2024-11-18,1.125,-0.6039867141437905,-0.6039867141437905
2024-11-19,1.25,-0.5488876476028179,-0.5488876476028179
2024-11-20,1.0,-0.659085780684763,-0.659085780684763
2024-11-21,1.125,-0.6039867141437905,-0.6039867141437905
2024-11-24,2.0,-0.21829324835698274,-0.21829324835698274
2024-11-25,2.0,-0.21829324835698274,-0.21829324835698274
2024-11-26,1.125,-0.6039867141437905,-0.6039867141437905
2024-11-28,1.25,-0.5488876476028179,-0.5488876476028179
2024-12-01,2.125,-0.1631941818160102,-0.1631941818160102
2024-12-02,4.25,0.7734899493805228,0.7734899493805228
2024-12-03,4.375,0.8285890159214954,0.8285890159214954
2024-12-04,1.25,-0.5488876476028179,-0.5488876476028179
2024-12-05,3.25,0.3326974170527426,0.3326974170527426
2024-12-08,1.0,-0.659085780684763,-0.659085780684763
2024-12-10,1.5,-0.43868951452087285,-0.43868951452087285
2024-12-15,1.5,-0.43868951452087285,-0.43868951452087285
2024-12-16,1.0,-0.659085780684763,-0.659085780684763
2024-12-17,1.125,-0.6039867141437905,-0.6039867141437905
2024-12-18,2.0,-0.21829324835698274,-0.21829324835698274
2024-12-22,1.25,-0.5488876476028179,-0.5488876476028179
2024-12-23,0.75,-0.769283913766708,-0.769283913766708
2024-12-25,2.0,-0.21829324835698274,-0.21829324835698274
2024-12-26,1.125,-0.6039867141437905,-0.6039867141437905
2024-12-29,0.875,-0.7141848472257355,-0.7141848472257355
2024-12-30,1.25,-0.5488876476028179,-0.5488876476028179
2025-01-01,2.0,-0.21829324835698274,-0.21829324835698274
2025-01-02,1.125,-0.6039867141437905,-0.6039867141437905
2025-01-05,1.875,-0.2733923148979553,-0.2733923148979553
2025-01-06,1.5,-0.43868951452087285,-0.43868951452087285
2025-01-07,1.25,-0.5488876476028179,-0.5488876476028179
2025-01-08,1.75,-0.3284913814389278,-0.3284913814389278
2025-01-09,1.375,-0.49378858106184537,-0.49378858106184537
2025-01-12,2.625,0.057202084347879927,0.057202084347879927
