Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZN)"
count,128.0
mean,4.23046875
std,2.1039916541910313
min,1.0
10%,2.5
25%,3.0
50%,3.75
75%,5.0
95%,6.662499999999998
99%,14.352500000000017
max,16.0
skewness,3.036748673983853
kurtosis,13.75988030263653
