Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)"
count,467.0
mean,5.18254817987152
std,2.7099107834426546
min,1.0
10%,2.5
25%,3.25
50%,4.5
75%,6.25
95%,10.0
99%,14.259999999999962
max,19.75
skewness,1.7334326674608214
kurtosis,4.594637414234624
