Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-23,0.625,-0.6918063178178477,-0.6918063178178477
2024-12-24,1.0,-0.4540219438404118,-0.4540219438404118
2024-12-26,1.25,-0.29549902785545445,-0.29549902785545445
2024-12-27,0.75,-0.6125448598253691,-0.6125448598253691
2024-12-30,0.5625,-0.731437046814087,-0.731437046814087
2024-12-31,1.5,-0.1369761118704971,-0.1369761118704971
2025-01-02,1.6875,-0.018083924881779123,-0.018083924881779123
2025-01-03,1.25,-0.29549902785545445,-0.29549902785545445
2025-01-06,1.0,-0.4540219438404118,-0.4540219438404118
2025-01-07,1.0625,-0.41439121484417246,-0.41439121484417246
2025-01-08,0.9375,-0.4936526728366511,-0.4936526728366511
2025-01-09,0.4375,-0.8106985048065658,-0.8106985048065658
2025-01-16,2.375,0.41785409407685353,0.41785409407685353
2025-01-17,1.0625,-0.41439121484417246,-0.41439121484417246
2025-01-20,0.5,-0.7710677758103264,-0.7710677758103264
2025-01-21,0.8125,-0.5729141308291298,-0.5729141308291298
2025-01-22,1.0625,-0.41439121484417246,-0.41439121484417246
2025-01-23,1.0,-0.4540219438404118,-0.4540219438404118
2025-01-27,1.3125,-0.25586829885921514,-0.25586829885921514
2025-01-28,0.75,-0.6125448598253691,-0.6125448598253691
2025-01-29,2.0,0.18006972009941755,0.18006972009941755
2025-02-03,1.5,-0.1369761118704971,-0.1369761118704971
2025-02-04,0.5,-0.7710677758103264,-0.7710677758103264
2025-02-05,0.375,-0.8503292338028051,-0.8503292338028051
2025-02-06,0.5625,-0.731437046814087,-0.731437046814087
2025-02-11,0.5625,-0.731437046814087,-0.731437046814087
2025-02-14,0.625,-0.6918063178178477,-0.6918063178178477
2025-02-17,0.1875,-0.9692214207915231,-0.9692214207915231
2025-02-18,0.75,-0.6125448598253691,-0.6125448598253691
2025-02-19,0.625,-0.6918063178178477,-0.6918063178178477
2025-02-20,0.5625,-0.731437046814087,-0.731437046814087
2025-02-24,1.0625,-0.41439121484417246,-0.41439121484417246
2025-02-25,1.125,-0.3747604858479331,-0.3747604858479331
2025-02-26,5.75,2.5579134598737774,2.5579134598737774
2025-03-03,5.4375,2.359759814892581,2.359759814892581
2025-03-04,6.6875,3.1523743948173677,3.1523743948173677
2025-03-05,5.4375,2.359759814892581,2.359759814892581
2025-03-06,5.0625,2.121975440915145,2.121975440915145
2025-03-11,5.25,2.240867627903863,2.240867627903863
2025-03-17,1.6875,-0.018083924881779123,-0.018083924881779123
2025-03-18,2.625,0.5763770100618109,0.5763770100618109
2025-03-19,4.5625,1.8049296089452302,1.8049296089452302
2025-03-20,1.0625,-0.41439121484417246,-0.41439121484417246
2025-03-21,1.1875,-0.33512975685169377,-0.33512975685169377
2025-03-24,0.75,-0.6125448598253691,-0.6125448598253691
2025-03-25,0.8125,-0.5729141308291298,-0.5729141308291298
2025-03-26,0.9375,-0.4936526728366511,-0.4936526728366511
2025-03-31,2.875,0.7348999260467681,0.7348999260467681
2025-04-01,1.0625,-0.41439121484417246,-0.41439121484417246
2025-04-02,2.1875,0.2989619070881355,0.2989619070881355
2025-04-03,1.75,0.021546804114460208,0.021546804114460208
2025-04-07,4.125,1.527514505971555,1.527514505971555
2025-04-08,4.625,1.8445603379414697,1.8445603379414697
2025-04-09,9.25,4.77723428366318,4.77723428366318
2025-04-15,1.5,-0.1369761118704971,-0.1369761118704971
2025-04-16,1.1875,-0.33512975685169377,-0.33512975685169377
2025-04-17,1.8125,0.06117753311069954,0.06117753311069954
2025-04-21,1.3125,-0.25586829885921514,-0.25586829885921514
2025-04-22,1.4375,-0.17660684086673645,-0.17660684086673645
2025-04-23,1.625,-0.057714653878018454,-0.057714653878018454
2025-04-24,1.0625,-0.41439121484417246,-0.41439121484417246
2025-04-28,2.0625,0.21970044909565686,0.21970044909565686
2025-04-29,0.75,-0.6125448598253691,-0.6125448598253691
2025-05-01,2.9375,0.7745306550430076,0.7745306550430076
2025-05-05,0.6875,-0.6521755888216084,-0.6521755888216084
2025-05-06,0.875,-0.5332834018328905,-0.5332834018328905
2025-05-07,1.9375,0.1404389911031782,0.1404389911031782
2025-05-09,1.4375,-0.17660684086673645,-0.17660684086673645
2025-05-14,1.5,-0.1369761118704971,-0.1369761118704971
2025-05-19,0.25,-0.9295906917952838,-0.9295906917952838
