Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)"
count,447.0
mean,5.02572706935123
std,2.8015767256238204
min,1.0
10%,2.5
25%,3.0
50%,4.25
75%,6.125
95%,10.5
99%,12.635000000000005
max,30.0
skewness,2.4466787207953082
kurtosis,14.251494021603376
