Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.4741853142341784,-0.4741853142341784
2024-10-16,8.0,-0.20989693841220605,-0.20989693841220605
2024-10-17,4.5,-0.8265698153301416,-0.8265698153301416
2024-10-18,7.5,-0.2979930636861968,-0.2979930636861968
2024-10-21,12.5,0.5829681890537112,0.5829681890537112
2024-10-22,6.0,-0.5622814395081692,-0.5622814395081692
2024-10-23,4.5,-0.8265698153301416,-0.8265698153301416
2024-10-24,9.0,-0.03370468786422446,-0.03370468786422446
2024-10-28,9.0,-0.03370468786422446,-0.03370468786422446
2024-10-29,12.0,0.4948720637797203,0.4948720637797203
2024-11-04,9.5,0.05439143740976634,0.05439143740976634
2024-11-05,7.5,-0.2979930636861968,-0.2979930636861968
2024-11-06,26.5,3.0496596967254535,3.0496596967254535
2024-11-07,14.5,0.9353526901496743,0.9353526901496743
2024-11-11,6.5,-0.4741853142341784,-0.4741853142341784
2024-11-15,9.5,0.05439143740976634,0.05439143740976634
2024-11-18,10.0,0.14248756268375715,0.14248756268375715
2024-11-19,14.0,0.8472565648756835,0.8472565648756835
2024-11-20,7.0,-0.3860891889601876,-0.3860891889601876
2024-11-21,8.0,-0.20989693841220605,-0.20989693841220605
2024-11-25,7.5,-0.2979930636861968,-0.2979930636861968
2024-11-26,5.5,-0.65037756478216,-0.65037756478216
2024-11-28,6.0,-0.5622814395081692,-0.5622814395081692
2024-11-29,9.5,0.05439143740976634,0.05439143740976634
2024-12-02,10.0,0.14248756268375715,0.14248756268375715
2024-12-03,8.0,-0.20989693841220605,-0.20989693841220605
2024-12-04,7.0,-0.3860891889601876,-0.3860891889601876
2024-12-05,9.0,-0.03370468786422446,-0.03370468786422446
2024-12-10,11.5,0.4067759385057295,0.4067759385057295
2024-12-13,6.5,-0.4741853142341784,-0.4741853142341784
2024-12-16,4.0,-0.9146659406041324,-0.9146659406041324
2024-12-17,7.5,-0.2979930636861968,-0.2979930636861968
2024-12-18,7.0,-0.3860891889601876,-0.3860891889601876
2024-12-23,5.5,-0.65037756478216,-0.65037756478216
2024-12-26,4.0,-0.9146659406041324,-0.9146659406041324
2024-12-27,12.0,0.4948720637797203,0.4948720637797203
2024-12-30,5.5,-0.65037756478216,-0.65037756478216
2024-12-31,5.5,-0.65037756478216,-0.65037756478216
2025-01-02,12.5,0.5829681890537112,0.5829681890537112
2025-01-03,5.5,-0.65037756478216,-0.65037756478216
2025-01-06,10.0,0.14248756268375715,0.14248756268375715
2025-01-07,9.5,0.05439143740976634,0.05439143740976634
2025-01-08,8.5,-0.12180081313821525,-0.12180081313821525
2025-01-09,6.0,-0.5622814395081692,-0.5622814395081692
2025-01-16,6.0,-0.5622814395081692,-0.5622814395081692
2025-01-17,7.0,-0.3860891889601876,-0.3860891889601876
2025-01-20,6.0,-0.5622814395081692,-0.5622814395081692
2025-01-21,10.5,0.23058368795774795,0.23058368795774795
2025-01-22,7.5,-0.2979930636861968,-0.2979930636861968
2025-01-23,10.0,0.14248756268375715,0.14248756268375715
2025-01-27,18.0,1.55202556706761,1.55202556706761
2025-01-28,6.5,-0.4741853142341784,-0.4741853142341784
2025-01-29,5.0,-0.7384736900561508,-0.7384736900561508
2025-02-03,10.0,0.14248756268375715,0.14248756268375715
2025-02-04,9.5,0.05439143740976634,0.05439143740976634
2025-02-05,9.0,-0.03370468786422446,-0.03370468786422446
2025-02-06,6.004028320312273,-0.5615716806864218,-0.5615716806864218
2025-02-11,8.5,-0.12180081313821525,-0.12180081313821525
2025-02-14,5.5,-0.65037756478216,-0.65037756478216
2025-02-17,4.0,-0.9146659406041324,-0.9146659406041324
2025-02-18,3.5,-1.0027620658781233,-1.0027620658781233
2025-02-19,7.0,-0.3860891889601876,-0.3860891889601876
2025-02-20,6.0,-0.5622814395081692,-0.5622814395081692
2025-02-24,6.5,-0.4741853142341784,-0.4741853142341784
2025-02-25,11.0,0.3186798132317387,0.3186798132317387
2025-02-26,8.5,-0.12180081313821525,-0.12180081313821525
2025-03-03,11.5,0.4067759385057295,0.4067759385057295
2025-03-04,13.5,0.7591604396016928,0.7591604396016928
2025-03-05,12.5,0.5829681890537112,0.5829681890537112
2025-03-06,10.5,0.23058368795774795,0.23058368795774795
2025-03-11,10.0,0.14248756268375715,0.14248756268375715
2025-03-17,8.0,-0.20989693841220605,-0.20989693841220605
2025-03-18,9.0,-0.03370468786422446,-0.03370468786422446
2025-03-19,6.5,-0.4741853142341784,-0.4741853142341784
2025-03-20,12.0,0.4948720637797203,0.4948720637797203
2025-03-21,8.5,-0.12180081313821525,-0.12180081313821525
2025-03-24,5.5,-0.65037756478216,-0.65037756478216
2025-03-25,9.0,-0.03370468786422446,-0.03370468786422446
2025-03-26,6.004028320312273,-0.5615716806864218,-0.5615716806864218
2025-03-31,6.5,-0.4741853142341784,-0.4741853142341784
2025-04-01,10.0,0.14248756268375715,0.14248756268375715
2025-04-02,10.5,0.23058368795774795,0.23058368795774795
2025-04-03,12.0,0.4948720637797203,0.4948720637797203
2025-04-07,29.0,3.4901403230954076,3.4901403230954076
2025-04-08,16.0,1.1996410659716468,1.1996410659716468
2025-04-09,50.5,7.278273709877011,7.278273709877011
2025-04-15,15.5,1.1115449406976559,1.1115449406976559
2025-04-16,10.004028320312273,0.1431973215055046,0.1431973215055046
2025-04-17,6.5,-0.4741853142341784,-0.4741853142341784
2025-04-21,9.0,-0.03370468786422446,-0.03370468786422446
2025-04-22,7.5,-0.2979930636861968,-0.2979930636861968
2025-04-23,12.5,0.5829681890537112,0.5829681890537112
2025-04-24,6.0,-0.5622814395081692,-0.5622814395081692
2025-04-28,8.5,-0.12180081313821525,-0.12180081313821525
2025-04-29,8.0,-0.20989693841220605,-0.20989693841220605
2025-05-01,10.0,0.14248756268375715,0.14248756268375715
2025-05-05,4.0,-0.9146659406041324,-0.9146659406041324
2025-05-06,7.5,-0.2979930636861968,-0.2979930636861968
2025-05-07,6.5,-0.4741853142341784,-0.4741853142341784
2025-05-09,7.5,-0.2979930636861968,-0.2979930636861968
2025-05-14,6.5,-0.4741853142341784,-0.4741853142341784
2025-05-19,7.5,-0.2979930636861968,-0.2979930636861968
