Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,-0.022548441177729667,-0.022548441177729667
2024-11-05,8.0,1.1800350883011783,1.1800350883011783
2024-11-06,6.25,0.478528029438482,0.478528029438482
2024-11-07,12.25,2.8836950883962977,2.8836950883962977
2024-11-11,5.75,0.2780974411919973,0.2780974411919973
2024-11-15,10.25,2.081972735410359,2.081972735410359
2024-11-18,5.75,0.2780974411919973,0.2780974411919973
2024-11-19,5.5,0.177882147068755,0.177882147068755
2024-11-20,5.5,0.177882147068755,0.177882147068755
2024-11-21,5.75,0.2780974411919973,0.2780974411919973
2024-11-25,9.75,1.8815421471638745,1.8815421471638745
2024-11-26,5.5,0.177882147068755,0.177882147068755
2024-11-29,5.25,0.07766685294551266,0.07766685294551266
2024-12-02,11.25,2.4828339119033287,2.4828339119033287
2024-12-03,9.0,1.5808962647941476,1.5808962647941476
2024-12-04,12.0,2.7834797942730556,2.7834797942730556
2024-12-05,6.0,0.3783127353152396,0.3783127353152396
2024-12-10,6.5,0.5787433235617243,0.5787433235617243
2024-12-13,6.0,0.3783127353152396,0.3783127353152396
2024-12-16,5.5,0.177882147068755,0.177882147068755
2024-12-17,7.25,0.8793892059314513,0.8793892059314513
2024-12-18,5.5,0.177882147068755,0.177882147068755
2024-12-23,4.5,-0.22297902942421433,-0.22297902942421433
2024-12-24,2.0,-1.2251319706566375,-1.2251319706566375
2024-12-26,3.5,-0.6238402059171836,-0.6238402059171836
2024-12-27,4.75,-0.122763735300972,-0.122763735300972
2024-12-30,7.5,0.9796045000546936,0.9796045000546936
2024-12-31,6.0,0.3783127353152396,0.3783127353152396
2025-01-02,8.0,1.1800350883011783,1.1800350883011783
2025-01-03,5.0,-0.022548441177729667,-0.022548441177729667
2025-01-06,7.5,0.9796045000546936,0.9796045000546936
2025-01-07,8.0,1.1800350883011783,1.1800350883011783
2025-01-08,6.25,0.478528029438482,0.478528029438482
2025-01-09,4.0,-0.42340961767069896,-0.42340961767069896
2025-01-16,10.75,2.282403323656844,2.282403323656844
2025-01-17,6.5,0.5787433235617243,0.5787433235617243
2025-01-20,8.0,1.1800350883011783,1.1800350883011783
2025-01-21,4.0,-0.42340961767069896,-0.42340961767069896
2025-01-22,5.5,0.177882147068755,0.177882147068755
2025-01-23,4.75,-0.122763735300972,-0.122763735300972
2025-01-27,7.75,1.079819794177936,1.079819794177936
2025-01-28,4.25,-0.32319432354745664,-0.32319432354745664
2025-01-29,5.25,0.07766685294551266,0.07766685294551266
2025-02-03,5.25,0.07766685294551266,0.07766685294551266
2025-02-04,4.5,-0.22297902942421433,-0.22297902942421433
2025-02-05,4.5,-0.22297902942421433,-0.22297902942421433
2025-02-06,2.75,-0.9244860882869106,-0.9244860882869106
2025-02-11,3.5,-0.6238402059171836,-0.6238402059171836
2025-02-14,2.75,-0.9244860882869106,-0.9244860882869106
2025-02-17,2.0,-1.2251319706566375,-1.2251319706566375
2025-02-18,1.75,-1.3253472647798799,-1.3253472647798799
2025-02-19,2.5,-1.024701382410153,-1.024701382410153
2025-02-20,2.75,-0.9244860882869106,-0.9244860882869106
2025-02-24,2.5,-1.024701382410153,-1.024701382410153
2025-02-25,5.75,0.2780974411919973,0.2780974411919973
2025-02-26,3.75,-0.5236249117939413,-0.5236249117939413
2025-03-03,4.25,-0.32319432354745664,-0.32319432354745664
2025-03-04,5.75,0.2780974411919973,0.2780974411919973
2025-03-05,5.0,-0.022548441177729667,-0.022548441177729667
2025-03-06,5.25,0.07766685294551266,0.07766685294551266
2025-03-11,5.75,0.2780974411919973,0.2780974411919973
2025-03-17,3.25,-0.724055500040426,-0.724055500040426
2025-03-18,3.75,-0.5236249117939413,-0.5236249117939413
2025-03-19,3.25,-0.724055500040426,-0.724055500040426
2025-03-20,5.25,0.07766685294551266,0.07766685294551266
2025-03-21,4.5,-0.22297902942421433,-0.22297902942421433
2025-03-24,2.25,-1.1249166765333953,-1.1249166765333953
2025-03-25,4.75,-0.122763735300972,-0.122763735300972
2025-03-26,3.25,-0.724055500040426,-0.724055500040426
2025-03-31,3.5,-0.6238402059171836,-0.6238402059171836
2025-04-01,4.5,-0.22297902942421433,-0.22297902942421433
2025-04-02,6.25,0.478528029438482,0.478528029438482
2025-04-03,5.25,0.07766685294551266,0.07766685294551266
2025-04-07,16.0,4.386924500244933,4.386924500244933
2025-04-08,6.0,0.3783127353152396,0.3783127353152396
2025-04-09,15.5,4.186493911998448,4.186493911998448
2025-04-15,5.25,0.07766685294551266,0.07766685294551266
2025-04-16,5.5,0.177882147068755,0.177882147068755
2025-04-17,3.5,-0.6238402059171836,-0.6238402059171836
2025-04-21,3.75,-0.5236249117939413,-0.5236249117939413
2025-04-22,3.75,-0.5236249117939413,-0.5236249117939413
2025-04-23,5.5,0.177882147068755,0.177882147068755
2025-04-24,3.5,-0.6238402059171836,-0.6238402059171836
2025-04-28,4.5,-0.22297902942421433,-0.22297902942421433
2025-04-29,3.75,-0.5236249117939413,-0.5236249117939413
2025-05-01,5.0,-0.022548441177729667,-0.022548441177729667
2025-05-05,2.0,-1.2251319706566375,-1.2251319706566375
2025-05-06,3.25,-0.724055500040426,-0.724055500040426
2025-05-07,3.25,-0.724055500040426,-0.724055500040426
2025-05-09,3.0,-0.8242707941636683,-0.8242707941636683
2025-05-14,3.25,-0.724055500040426,-0.724055500040426
2025-05-19,5.25,0.07766685294551266,0.07766685294551266
2025-05-20,4.25,-0.32319432354745664,-0.32319432354745664
