Volatility of Returns Statistic,"(Session:All day, Interval:1h, Symbol:ZN)"
count,609.0
mean,8.479917930264778
std,5.081753340851335
min,0.0
10%,2.75
25%,5.0
50%,7.75
75%,10.75
95%,17.400000000000006
99%,25.87999999999994
max,38.25
skewness,1.4426506702804782
kurtosis,4.213956778361497
