"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,128.0,130.0,130.0,122.0,155.0,170.0
mean,4.248046875,4.5,5.348076923076923,2.3463605036501045,3.5193548387096776,8.219152832031252
std,2.0861127088453073,2.2679089163176678,2.7561587403103087,1.5452426360512577,2.948080968909422,5.000883279796639
min,1.75,0.75,1.0,0.75,1.25,1.5
5%,2.0,1.8625,2.0,1.25,1.5,2.3625000000000003
25%,3.0,3.0625,3.5,1.5,2.25,5.25
50%,3.75,4.0,4.75,2.0,2.75,7.5
68%,4.5,4.75,6.0,2.3200000000000003,3.25,9.48
90%,5.75,7.0,8.75,3.7250000000000014,5.549999999999997,13.25
95%,6.662499999999998,9.6375,10.3875,4.237499999999997,8.899999999999991,16.549999999999983
99%,14.352500000000017,12.524999999999984,15.137499999999992,9.579999999999984,18.31500000000006,26.46250000000002
99.7%,15.8095,13.5565,15.65325,10.9555,22.903500000000008,35.33474999999997
max,16.0,13.75,15.75,11.5,23.25,38.25
