Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)"
count,407.0
mean,2.6081473985526715
std,1.9031080188247214
min,0.5
10%,1.25
25%,1.5
50%,2.0
75%,2.75
95%,7.674999999999997
99%,10.25
max,11.5
skewness,2.625188156551703
kurtosis,7.323156697798039
