Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:FGBL)",ZScore wrt All Days,ZScore wrt Given Days
2008-12-29,73.0000000000004,-0.13570178992866666,-0.13570178992866666
2008-12-30,73.0000000000004,-0.13570178992866666,-0.13570178992866666
2009-01-02,146.0000000000008,1.5400334445033055,1.5400334445033055
2009-01-05,87.99999999999955,0.20862736783130614,0.20862736783130614
2009-01-06,164.00000000000006,1.9532284338152792,1.9532284338152792
2009-01-07,100.0,0.4840906940393105,0.4840906940393105
2009-01-08,135.99999999999994,1.310480672663291,1.310480672663291
2009-01-09,146.0000000000008,1.5400334445033055,1.5400334445033055
2009-01-12,79.99999999999972,0.024985150359314118,0.024985150359314118
2009-01-13,43.99999999999977,-0.8014048282646663,-0.8014048282646663
2009-01-14,135.00000000000085,1.2875253954793122,1.2875253954793122
2009-01-15,84.99999999999943,0.13976153627930504,0.13976153627930504
2009-01-16,76.00000000000051,-0.06683595837666559,-0.06683595837666559
2009-01-19,121.99999999999989,0.9891067920872967,0.9891067920872967
2009-01-20,105.00000000000114,0.5988670799593341,0.5988670799593341
2009-01-21,68.99999999999977,-0.227522898664679,-0.227522898664679
2009-01-22,125.0,1.057972623639298,1.057972623639298
2009-01-23,162.00000000000045,1.9073178794472894,1.9073178794472894
2009-01-26,122.99999999999898,1.0120620692712754,1.0120620692712754
2009-01-27,126.9999999999996,1.1038831780072877,1.1038831780072877
2009-01-28,84.99999999999943,0.13976153627930504,0.13976153627930504
2009-01-29,101.00000000000051,0.5070459712233217,0.5070459712233217
2009-01-30,81.00000000000023,0.04794042754332535,0.04794042754332535
2009-02-02,89.99999999999915,0.254537922199296,0.254537922199296
2009-02-03,100.0,0.4840906940393105,0.4840906940393105
2009-02-04,62.000000000000455,-0.3882098389526598,-0.3882098389526598
2009-02-05,104.00000000000063,0.5759118027753228,0.5759118027753228
2009-02-06,96.99999999999989,0.4152248624873094,0.4152248624873094
2009-02-09,67.00000000000017,-0.27343345303266886,-0.27343345303266886
2009-02-10,103.00000000000011,0.5529565255913116,0.5529565255913116
2009-02-11,137.00000000000045,1.333435949847302,1.333435949847302
2009-02-12,118.00000000000068,0.897285683351317,0.897285683351317
2009-02-13,57.99999999999983,-0.4800309476886721,-0.4800309476886721
2009-02-16,89.00000000000006,0.2315826450153174,0.2315826450153174
2009-02-17,78.9999999999992,0.002029873175302881,0.002029873175302881
2009-02-18,76.9999999999996,-0.04388068119268697,-0.04388068119268697
2009-02-19,107.99999999999983,0.6677329115113025,0.6677329115113025
2009-02-20,81.99999999999932,0.07089570472730397,0.07089570472730397
2009-02-23,82.99999999999983,0.0938509819113152,0.0938509819113152
2009-02-24,64.00000000000006,-0.34229928458466996,-0.34229928458466996
2009-02-25,73.0000000000004,-0.13570178992866666,-0.13570178992866666
2009-02-26,110.99999999999994,0.7365987430633036,0.7365987430633036
2009-02-27,104.99999999999972,0.5988670799593014,0.5988670799593014
2009-03-02,59.00000000000034,-0.45707567050466086,-0.45707567050466086
2009-03-03,48.0000000000004,-0.709583719528654,-0.709583719528654
2009-03-04,93.99999999999977,0.34635903093530834,0.34635903093530834
2009-03-05,162.99999999999955,1.930273156631268,1.930273156631268
2009-03-06,84.99999999999943,0.13976153627930504,0.13976153627930504
2009-03-09,62.999999999999545,-0.36525456176868115,-0.36525456176868115
2009-03-10,76.00000000000051,-0.06683595837666559,-0.06683595837666559
2009-03-11,95.00000000000028,0.36931430811931953,0.36931430811931953
2009-03-12,60.00000000000085,-0.4341203933206496,-0.4341203933206496
2009-03-13,100.0,0.4840906940393105,0.4840906940393105
2009-03-16,54.999999999999716,-0.5488967792406731,-0.5488967792406731
2009-03-17,93.99999999999977,0.34635903093530834,0.34635903093530834
2009-03-18,235.99999999999994,3.6060083910632397,3.6060083910632397
2009-03-19,101.00000000000051,0.5070459712233217,0.5070459712233217
2009-03-20,83.99999999999892,0.11680625909529382,0.11680625909529382
2009-03-23,68.99999999999977,-0.227522898664679,-0.227522898664679
2009-03-24,117.99999999999926,0.8972856833512844,0.8972856833512844
2009-03-25,71.0000000000008,-0.1816123442966565,-0.1816123442966565
2009-03-26,76.9999999999996,-0.04388068119268697,-0.04388068119268697
2009-03-27,78.00000000000011,-0.020925404008675735,-0.020925404008675735
2009-03-30,103.9999999999992,0.5759118027752902,0.5759118027752902
2009-03-31,62.999999999999545,-0.36525456176868115,-0.36525456176868115
2009-04-01,43.99999999999977,-0.8014048282646663,-0.8014048282646663
2009-04-02,175.0,2.2057364828392725,2.2057364828392725
2009-04-03,117.00000000000017,0.8743304061673057,0.8743304061673057
2009-04-06,62.999999999999545,-0.36525456176868115,-0.36525456176868115
2009-04-07,43.99999999999977,-0.8014048282646663,-0.8014048282646663
2009-04-08,78.9999999999992,0.002029873175302881,0.002029873175302881
2009-04-09,67.00000000000017,-0.27343345303266886,-0.27343345303266886
2009-04-14,45.000000000000284,-0.7784495510806551,-0.7784495510806551
2009-04-15,57.99999999999983,-0.4800309476886721,-0.4800309476886721
2009-04-16,57.99999999999983,-0.4800309476886721,-0.4800309476886721
2009-04-17,95.00000000000028,0.36931430811931953,0.36931430811931953
2009-04-20,132.00000000000074,1.2186595639273112,1.2186595639273112
2009-04-21,81.00000000000023,0.04794042754332535,0.04794042754332535
2009-04-22,104.99999999999972,0.5988670799593014,0.5988670799593014
2009-04-23,51.9999999999996,-0.6177626107926742,-0.6177626107926742
2009-04-24,60.99999999999994,-0.411165116136671,-0.411165116136671
2009-04-27,70.00000000000028,-0.20456762148066776,-0.20456762148066776
