Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)"
count,107.0
mean,3.7955607476635516
std,2.4220386827441196
min,0.5
10%,1.7000000000000002
25%,2.1875
50%,3.0
75%,4.625
95%,8.662499999999987
99%,12.387499999999996
max,14.0
skewness,1.7735999947228958
kurtosis,3.9966597594525033
