Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:ZN)"
count,5483.0
mean,10.1919809133059
std,5.774508517247293
min,0.0
10%,4.75
25%,6.251220703125
50%,9.0
75%,12.5
95%,20.7503662109375
99%,29.340000000000146
max,74.5
skewness,2.3600865206366866
kurtosis,12.175881533625047
