Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)"
count,110.0
mean,1.7295632102272727
std,1.4023581416206952
min,0.375
10%,0.75
25%,1.0
50%,1.25
75%,2.0
95%,4.3562499999999975
99%,7.307499999999997
max,8.125
skewness,2.551952552551992
kurtosis,7.195358597835266
