Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:FGBL)"
count,3380.0
mean,78.86686390532545
std,43.51801608312364
min,0.0
10%,39.00000000000148
25%,50.99999999999909
50%,68.00000000000068
75%,93.99999999999977
95%,161.00000000000136
99%,236.00000000000026
max,469.0000000000026
skewness,2.3004177832244137
kurtosis,8.866317039603189
