Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)"
count,94.0
mean,4.220744680851064
std,2.5269664925640183
min,1.25
10%,2.0
25%,2.5
50%,3.625
75%,5.0
95%,8.874999999999986
99%,13.872499999999988
max,15.5
skewness,2.336214349994099
kurtosis,6.897307208868009
