Datetime,Close,High,Low,Open,Volume
2025-07-21,111.1875,111.296875,110.75,110.859375,1279259.0
2025-07-22,111.40625,111.453125,111.0,111.109375,1349631.0
2025-07-23,111.015625,111.328125,110.96875,111.328125,1418591.0
2025-07-24,110.828125,111.0625,110.609375,111.03125,1446353.0
2025-07-25,110.984375,111.015625,110.703125,110.890625,1163332.0
2025-07-28,110.765625,111.09375,110.765625,110.890625,1197186.0
2025-07-29,111.359375,111.40625,110.75,110.8125,1763962.0
2025-07-30,111.0,111.453125,110.953125,111.390625,1794648.0
2025-07-31,111.0625,111.3125,110.921875,111.015625,2076804.0
2025-08-01,112.203125,112.34375,110.734375,110.96875,2983381.0
2025-08-04,112.375,112.4375,111.984375,112.265625,1960553.0
2025-08-05,112.296875,112.484375,112.15625,112.390625,1459626.0
2025-08-06,112.234375,112.265625,111.828125,112.1875,1662032.0
2025-08-07,112.09375,112.296875,112.03125,112.140625,1291048.0
2025-08-08,111.828125,112.125,111.78125,112.0625,1033260.0
2025-08-11,111.890625,112.0,111.765625,111.8125,993844.0
2025-08-12,111.8125,112.1875,111.609375,111.78125,1669474.0
2025-08-13,112.171875,112.28125,111.71875,111.796875,1408771.0
2025-08-14,111.796875,112.4375,111.765625,112.21875,1767055.0
2025-08-15,111.59375,111.953125,111.546875,111.828125,1400281.0
2025-08-18,111.515625,111.84375,111.421875,111.640625,1270179.0
2025-08-19,111.765625,111.8125,111.46875,111.5625,1270179.0
2025-08-20,111.734375,111.75,111.625,111.75,82079.0
